target,target_label,target_prefix,subject_count,subject,subject_label
UMLS:C0406704,Rudiger syndrome 1,UMLS,3,DOID:0060784,"ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 1"
GARD:12474,"Ehlers-Danlos syndrome, periodontitis type",GARD,2,DOID:0080986,Ehlers-Danlos syndrome periodontal type 1
GARD:12474,"Ehlers-Danlos syndrome, periodontitis type",GARD,2,DOID:0080987,Ehlers-Danlos syndrome periodontal type 2
GARD:48,"Mitochondrial complex IV deficiency, nuclear-type",GARD,2,DOID:0081377,"COX deficiency, benign infantile mitochondrial myopathy"
GARD:48,"Mitochondrial complex IV deficiency, nuclear-type",GARD,2,DOID:3762,cytochrome-c oxidase deficiency disease
GARD:5791,Amelogenesis imperfecta,GARD,2,DOID:0060945,amelogenesis imperfecta type 1K
GARD:5791,Amelogenesis imperfecta,GARD,2,DOID:2187,amelogenesis imperfecta
GARD:6002,Caroli disease,GARD,2,DOID:0050876,Caroli disease
GARD:6002,Caroli disease,GARD,2,DOID:0081394,Caroli syndrome
GARD:625,Autosomal recessive Alport syndrome,GARD,2,DOID:0051080,Alport syndrome 3B
GARD:625,Autosomal recessive Alport syndrome,GARD,2,DOID:0110033,Alport syndrome 2
GARD:7220,,GARD,2,DOID:0050580,hereditary lymphedema
GARD:7220,,GARD,2,DOID:0070212,hereditary lymphedema I
GARD:7674,Spinal muscular atrophy,GARD,2,DOID:0060160,childhood spinal muscular atrophy
GARD:7674,Spinal muscular atrophy,GARD,2,DOID:12377,spinal muscular atrophy
GARD:8609,,GARD,2,DOID:0050156,idiopathic pulmonary fibrosis
GARD:8609,,GARD,2,DOID:0060941,interstitial lung disease 1
GARD:9226,,GARD,2,DOID:0060611,abdominal obesity-metabolic syndrome
GARD:9226,,GARD,2,DOID:14221,abdominal obesity-metabolic syndrome 1
GARD:9971,,GARD,2,DOID:0080786,Brown-Vialetto-Van Laere syndrome 2
GARD:9971,,GARD,2,DOID:0081433,Peroxisome biogenesis disorder 4B
