compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Disease.txt,UMLS:C1306814,Primary malignant neoplasm of muscle,biolink:Disease,2,MONDO:0005864,muscle cancer,regrouped,Disease.txt,biolink:Disease,15,2,"SNOMEDCT:93913006 """"; UMLS:C1306814 ""Primary malignant neoplasm of muscle"""
Disease.txt,UMLS:C1314745,"Sertoli-Leydig cell tumor, well differentiated",biolink:Disease,2,MONDO:0002479,Sertoli-Leydig cell tumor,regrouped,Disease.txt,biolink:Disease,7,2,"SNOMEDCT:34110004 """"; UMLS:C1314745 ""Sertoli-Leydig cell tumor, well differentiated"""
Disease.txt,UMLS:C1314758,Primary malignant neoplasm of skin,biolink:Disease,2,MONDO:0002898,skin cancer,regrouped,Disease.txt,biolink:Disease,15,2,"SNOMEDCT:94047004 """"; UMLS:C1314758 ""Primary malignant neoplasm of skin"""
Disease.txt,UMLS:C1314886,Primary malignant neoplasm of parametrium,biolink:Disease,2,MONDO:0001350,parametrium malignant neoplasm,regrouped,Disease.txt,biolink:Disease,11,2,"SNOMEDCT:93942003 """"; UMLS:C1314886 ""Primary malignant neoplasm of parametrium"""
Disease.txt,UMLS:C1321754,Primary malignant neoplasm of trigone of urinary bladder,biolink:Disease,2,MONDO:0001375,bladder trigone cancer,regrouped,Disease.txt,biolink:Disease,11,2,"SNOMEDCT:94109006 """"; UMLS:C1321754 ""Primary malignant neoplasm of trigone of urinary bladder"""
Disease.txt,UMLS:C1330959,Primary malignant neoplasm of prostate,biolink:Disease,2,MONDO:0008315,prostate cancer,regrouped,Disease.txt,biolink:Disease,19,2,"SNOMEDCT:93974005 """"; UMLS:C1330959 ""Primary malignant neoplasm of prostate"""
Disease.txt,UMLS:C1333990,Hereditary Nonpolyposis Colorectal Cancer,biolink:Disease,3,DOID:0070271,Lynch syndrome 1,regrouped,Disease.txt,biolink:Disease,16,3,"NCIT:C120083 ""Hereditary Nonpolyposis Colorectal Cancer Syndrome""; SNOMEDCT:315058005 """"; UMLS:C1333990 ""Hereditary Nonpolyposis Colorectal Cancer"""
Disease.txt,UMLS:C1367862,Primary malignant neoplasm of pituitary gland,biolink:Disease,2,MONDO:0002109,pituitary cancer,regrouped,Disease.txt,biolink:Disease,15,2,"SNOMEDCT:93964007 """"; UMLS:C1367862 ""Primary malignant neoplasm of pituitary gland"""
Disease.txt,UMLS:C1367968,Primary malignant neoplasm of retina,biolink:Disease,2,MONDO:0003072,retinal cancer,regrouped,Disease.txt,biolink:Disease,14,2,"SNOMEDCT:93987004 """"; UMLS:C1367968 ""Primary malignant neoplasm of retina"""
Disease.txt,UMLS:C1370913,Borderline phyllodes tumor,biolink:Disease,3,MONDO:0015871,benign breast phyllodes tumor,regrouped,Disease.txt,biolink:Disease,13,3,"NCIT:C7503 ""Borderline Phyllodes Tumor""; SNOMEDCT:71232009 """"; UMLS:C1370913 ""Borderline phyllodes tumor"""
