target,target_label,target_prefix,subject_count,subject,subject_label
ICD10:J31.0,Chronic rhinitis,ICD10,1,DOID:8252,chronic rhinitis
ICD10:J31.1,Chronic nasopharyngitis,ICD10,1,DOID:10460,nasopharyngitis
ICD10:J35.01,Chronic tonsillitis,ICD10,1,DOID:10456,tonsillitis
ICD10:J35.02,Chronic adenoiditis,ICD10,1,DOID:0050145,adenoiditis
ICD10:J35.2,Hypertrophy of adenoids,ICD10,1,DOID:0060311,adenoid hypertrophy
ICD10:J37.0,Chronic laryngitis,ICD10,1,DOID:11797,chronic laryngitis
ICD10:J37.1,Chronic laryngotracheitis,ICD10,1,DOID:0050148,laryngotracheitis
ICD10:J38.6,Stenosis of larynx,ICD10,1,DOID:11527,laryngostenosis
ICD10:J38.7,Other diseases of larynx,ICD10,1,DOID:786,laryngeal disease
ICD10:J40,"Bronchitis, not specified as acute or chronic",ICD10,1,DOID:6132,bronchitis
ICD10:J42,Unspecified chronic bronchitis,ICD10,1,DOID:6132,bronchitis
ICD10:J43.8,Other emphysema,ICD10,1,DOID:9675,pulmonary emphysema
ICD10:J44.81,Bronchiolitis obliterans and bronchiolitis obliterans syndrome,ICD10,1,DOID:2799,bronchiolitis obliterans
ICD10:J44.9,"Chronic obstructive pulmonary disease, unspecified",ICD10,1,DOID:3083,chronic obstructive pulmonary disease
ICD10:J45.991,Cough variant asthma,ICD10,1,DOID:12323,cough variant asthma
ICD10:J47,Bronchiectasis,ICD10,1,DOID:9563,bronchiectasis
ICD10:J61,Pneumoconiosis due to asbestos and other mineral fibers,ICD10,1,DOID:10320,asbestosis
ICD10:J62.0,Pneumoconiosis due to talc dust,ICD10,1,DOID:10329,pulmonary talcosis
ICD10:J62.8,Pneumoconiosis due to other dust containing silica,ICD10,1,DOID:10325,silicosis
ICD10:J63.2,Berylliosis,ICD10,1,DOID:10322,berylliosis
ICD10:J63.4,Siderosis,ICD10,1,DOID:10328,siderosis
ICD10:J64,Unspecified pneumoconiosis,ICD10,1,DOID:10316,pneumoconiosis
ICD10:J66.0,Byssinosis,ICD10,1,DOID:10323,byssinosis
ICD10:J67.0,Farmer's lung,ICD10,1,DOID:14453,farmer's lung
ICD10:J67.1,Bagassosis,ICD10,1,DOID:12522,bagassosis
ICD10:J67.2,Bird fancier's lung,ICD10,1,DOID:13891,bird fancier's lung
ICD10:J67.3,Suberosis,ICD10,1,DOID:840,cork-handlers' disease
ICD10:J67.4,Maltworker's lung,ICD10,1,DOID:2314,malt worker's lung
ICD10:J67.5,Mushroom-worker's lung,ICD10,1,DOID:2708,mushroom workers' lung
ICD10:J67.6,Maple-bark-stripper's lung,ICD10,1,DOID:8484,maple bark strippers' lung
ICD10:J67.7,Air-conditioner and humidifier lung,ICD10,1,DOID:11289,ventilation pneumonitis
ICD10:J67.9,Hypersensitivity pneumonitis due to unspecified organic dust,ICD10,1,DOID:841,extrinsic allergic alveolitis
