compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Disease.txt,OMIM:613325,,biolink:Disease,4,DOID:0060997,rhabdoid tumor predisposition syndrome 2,regrouped,Disease.txt,biolink:Disease,5,4,"MESH:C567643 ""Rhabdoid Tumor Predisposition Syndrome 2""; NCIT:C178394 ""Rhabdoid Tumor Predisposition Syndrome 2""; OMIM:613325 """"; UMLS:C2750074 ""Rhabdoid Tumor Predisposition Syndrome 2"""
Disease.txt,OMIM:613989,,biolink:Disease,4,DOID:0070016,autosomal dominant dyskeratosis congenita 2,regrouped,Disease.txt,biolink:Disease,5,4,"NCIT:C176922 ""Dyskeratosis Congenita, Autosomal Dominant 2""; OMIM:613989 """"; UMLS:C3151443 ""DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 2""; UMLS:C3151444 ""Dyskeratosis Congenita, Autosomal Recessive 4"""
Disease.txt,OMIM:615190,,biolink:Disease,4,DOID:0070022,autosomal recessive dyskeratosis congenita 5,regrouped,Disease.txt,biolink:Disease,5,4,"NCIT:C176928 ""Dyskeratosis Congenita, Autosomal Recessive 5""; OMIM:615190 """"; UMLS:C3554656 ""DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 5""; UMLS:C3808802 ""DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 4"""
Disease.txt,OMIM:616553,,biolink:Disease,4,DOID:0070023,autosomal dominant dyskeratosis congenita 6,regrouped,Disease.txt,biolink:Disease,5,4,"NCIT:C176924 ""Dyskeratosis Congenita, Autosomal Dominant 6""; OMIM:616553 """"; UMLS:C4225283 ""DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 7""; UMLS:C4225284 ""DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 6"""
Disease.txt,UMLS:C2239246,"Endometrial stromal sarcoma, high grade",biolink:Disease,4,MONDO:0006745,endometrioid stromal sarcoma,regrouped,Disease.txt,biolink:Disease,15,4,"NCIT:C126998 ""Uterine Corpus High Grade Endometrial Stromal Sarcoma""; SNOMEDCT:699358009 """"; SNOMEDCT:70555003 """"; UMLS:C2239246 ""Endometrial stromal sarcoma, high grade"""
Disease.txt,DOID:0070688,autosomal recessive congenital indifference to pain,biolink:Disease,3,MONDO:0009459,"channelopathy-associated congenital insensitivity to pain, autosomal recessive",regrouped,Disease.txt,biolink:Disease,9,3,"DOID:0070688 ""autosomal recessive congenital indifference to pain""; SNOMEDCT:1279831004 """"; UMLS:C5680180 ""Congenital insensitivity to pain, anosmia, neuropathic arthropathy"""
Disease.txt,OMIM:127550,,biolink:Disease,3,DOID:0070014,autosomal dominant dyskeratosis congenita 1,regrouped,Disease.txt,biolink:Disease,4,3,"NCIT:C176921 ""Dyskeratosis Congenita, Autosomal Dominant 1""; OMIM:127550 """"; UMLS:C4551974 ""DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 1"""
Disease.txt,OMIM:190351,,biolink:Disease,3,MONDO:0008596,trichorhinophalangeal syndrome type I,regrouped,Disease.txt,biolink:Disease,14,3,"MESH:C566033 ""Trichorhinophalangeal Syndrome, Type III""; OMIM:190351 """"; UMLS:C1860823 ""Trichorhinophalangeal Syndrome, Type III"""
Disease.txt,OMIM:193520,,biolink:Disease,3,DOID:0070483,Watson syndrome,regrouped,Disease.txt,biolink:Disease,4,3,"OMIM:193520 """"; SNOMEDCT:403820003 """"; UMLS:C0553586 ""Cafe-au-lait macules with pulmonary stenosis"""
Disease.txt,OMIM:224230,,biolink:Disease,3,DOID:0070015,autosomal recessive dyskeratosis congenita 1,regrouped,Disease.txt,biolink:Disease,4,3,"NCIT:C176925 ""Dyskeratosis Congenita, Autosomal Recessive 1""; OMIM:224230 """"; UMLS:C1857144 ""DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 1"""
