semantic_type	subject	subject_label	predicate	object	object_label	asserted_by	status
anatomy	UBERON:0013280	diaphysis of tibia	xref	EMAPA:37770	tibia diaphysis	UBERON	made_real
anatomy	UBERON:0013411	cranial cavity	xref	EMAPA:37497	cranial cavity	UBERON	made_real
anatomy	UBERON:0013481	crypt of Lieberkuhn of ileum	xref	EMAPA:37839	crypt of Lieberkuhn of ileum	UBERON	made_real
anatomy	UBERON:0013482	crypt of Lieberkuhn of duodenum	xref	EMAPA:37838	crypt of Lieberkuhn of duodenum	UBERON	made_real
anatomy	UBERON:0013483	crypt of Lieberkuhn of jejunum	xref	EMAPA:37840	crypt of Lieberkuhn of jejunum	UBERON	made_real
anatomy	UBERON:0013498	vestibulo-cochlear VIII ganglion complex	xref	EMAPA:17570	vestibulo-cochlear ganglion complex	UBERON	made_real
anatomy	UBERON:0013499	glossopharyngeal-vagus IX-X preganglion complex	xref	EMAPA:16662	glossopharyngeal-vagus preganglion complex	UBERON	made_real
anatomy	UBERON:0013500	glossopharyngeal-vagus IX-X ganglion complex	xref	EMAPA:16796	glossopharyngeal-vagus ganglion complex	UBERON	made_real
anatomy	UBERON:0013503	caudal vertebra cartilage element	xref	EMAPA:18044	tail vertebral cartilage condensation	UBERON	made_real
anatomy	UBERON:0013504	caudal vertebra pre-cartilage condensation	xref	EMAPA:18045	tail vertebral pre-cartilage condensation	UBERON	made_real
anatomy	UBERON:0013525	stomach lumen	xref	EMAPA:18395	stomach lumen	UBERON	made_real
anatomy	UBERON:0013526	otocyst lumen	xref	EMAPA:25363	otocyst lumen	UBERON	made_real
anatomy	UBERON:0013560	Brodmann (1909) area 32	xref	EMAPA:36447	prelimbic area	UBERON	made_real
anatomy	UBERON:0013608	inferior olive dorsal accessory nucleus	xref	EMAPA:37612	inferior olive dorsal accessory nucleus	UBERON	made_real
anatomy	UBERON:0013609	inferior olive medial accessory nucleus	xref	EMAPA:37613	inferior olive medial accessory nucleus	UBERON	made_real
anatomy	UBERON:0013637	prostate gland lateral lobe	xref	EMAPA:29822	lateral prostate gland	UBERON	made_real
anatomy	UBERON:0013700	axial musculature	xref	EMAPA:18166	axial musculature	UBERON	made_real
anatomy	UBERON:0013750	metaphysis of tibia	xref	EMAPA:37772	tibia metaphysis	UBERON	made_real
anatomy	UBERON:0013765	digestive system element	xref	EMAPA:37843	alimentary system organ	UBERON	made_real
anatomy	UBERON:0013768	great vessel of heart	xref	EMAPA:36460	great vessel of heart	UBERON	made_real
anatomy	UBERON:0013769	uterine lumen	xref	EMAPA:36273	uterus lumen	UBERON	made_real
anatomy	UBERON:0014284	endopiriform nucleus	xref	EMAPA:35311	endopiriform nucleus	UBERON	made_real
anatomy	UBERON:0014371	future telencephalon	xref	EMAPA:36024	future telencephalon	UBERON	made_real
anatomy	UBERON:0014380	flexor digitorum brevis muscle	xref	EMAPA:36247	flexor digitorum brevis	UBERON	made_real
anatomy	UBERON:0014387	mesenchyme derived from neural crest	xref	EMAPA:32735	mesenchyme derived from neural crest	UBERON	made_real
anatomy	UBERON:0014388	kidney collecting duct epithelium	xref	EMAPA:37885	collecting duct epithelium	UBERON	made_real
anatomy	UBERON:0014394	uterine fat pad	xref	EMAPA:37979	uterine fat pad	UBERON	made_real
anatomy	UBERON:0014401	renal venous blood vessel	xref	EMAPA:31450	renal venous system	UBERON	made_real
anatomy	UBERON:0014410	fibularis quartus	xref	EMAPA:36260	peroneus digiti quarti	UBERON	made_real
anatomy	UBERON:0014437	iliac crest	xref	EMAPA:37602	iliac crest	UBERON	made_real
anatomy	UBERON:0014450	pretectal nucleus	xref	EMAPA:37919	pretectal nucleus	UBERON	made_real
anatomy	UBERON:0014463	cardiac ganglion	xref	EMAPA:36644	cardiac ganglion	UBERON	made_real
anatomy	UBERON:0014548	pyramidal layer of CA1	xref	EMAPA:35196	CA1 pyramidal cell layer	UBERON	made_real
anatomy	UBERON:0014549	pyramidal layer of CA2	xref	EMAPA:36480	CA2 pyramidal cell layer	UBERON	made_real
anatomy	UBERON:0014550	pyramidal layer of CA3	xref	EMAPA:36448	CA3 pyramidal cell layer	UBERON	made_real
anatomy	UBERON:0014699	extraembryonic venous system	xref	EMAPA:16374	extraembryonic venous system	UBERON	made_real
anatomy	UBERON:0014701	extraembryonic vascular system	xref	EMAPA:16370	extraembryonic vascular system	UBERON	made_real
anatomy	UBERON:0014702	frontonasal process epithelium	xref	EMAPA:32918	fronto-nasal process epithelium	UBERON	made_real
anatomy	UBERON:0014703	anal membrane ectodermal component	xref	EMAPA:25040	ectoderm component of anal membrane	UBERON	made_real
anatomy	UBERON:0014704	pleuroperitoneal canal lumen	xref	EMAPA:25034	pleuro-peritoneal canal cavity	UBERON	made_real
anatomy	UBERON:0014705	median lingual swelling epithelium	xref	EMAPA:17188	median lingual swelling epithelium	UBERON	made_real
anatomy	UBERON:0014706	primitive renal collecting duct system	xref	EMAPA:17646	primitive collecting duct	UBERON	made_real
anatomy	UBERON:0014765	crus of diaphragm	xref	EMAPA:17703	crus of diaphragm	UBERON	made_real
anatomy	UBERON:0014782	allantois of embryonic urinary system	xref	EMAPA:28547	allantois of embryonic urinary system	UBERON	made_real
anatomy	UBERON:0014790	lingual septum	xref	EMAPA:18274	median fibrous septum	UBERON	made_real
anatomy	UBERON:0014792	musculature of pelvic complex	xref	EMAPA:37864	pelvic complex  musculature	UBERON	made_real
anatomy	UBERON:0014793	musculature of pectoral complex	xref	EMAPA:37861	pectoral complex musculature	UBERON	made_real
anatomy	UBERON:0014835	serratus muscle	xref	EMAPA:35769	serratus muscle	UBERON	made_real
anatomy	UBERON:0014847	vastus intermedius	xref	EMAPA:36243	vastus intermedius	UBERON	made_real
anatomy	UBERON:0014849	hemotrichorial placental membrane	xref	EMAPA:37879	hemotrichorial placental membrane	UBERON	made_real
anatomy	UBERON:0014891	brainstem white matter	xref	EMAPA:35189	brainstem white matter	UBERON	made_real
anatomy	UBERON:0014892	skeletal muscle organ, vertebrate	xref	EMAPA:35988	skeletal muscle	UBERON	made_real
anatomy	UBERON:0014907	intersomitic vessel	xref	EMAPA:37389	intersomitic blood vessel	UBERON	made_real
anatomy	UBERON:0014915	genu of facial nerve	xref	EMAPA:37870	genu of facial nerve	UBERON	made_real
anatomy	UBERON:0014918	retrosplenial granular cortex	xref	EMAPA:37947	retrosplenial granular cortex	UBERON	made_real
anatomy	UBERON:0014935	cerebral cortex marginal layer	xref	EMAPA:17546	cerebral cortex marginal layer	UBERON	made_real
anatomy	UBERON:0014935	cerebral cortex marginal layer	xref	EMAPA:32713	cerebral cortex marginal zone	UBERON	made_real
anatomy	UBERON:0014936	cerebral cortex ventricular layer	xref	EMAPA:17547	cerebral cortex ventricular layer	UBERON	made_real
anatomy	UBERON:0014936	cerebral cortex ventricular layer	xref	EMAPA:32707	cerebral cortex ventricular zone	UBERON	made_real
anatomy	UBERON:0014940	cerebral cortex subventricular zone	xref	EMAPA:32704	cerebral cortex subventricular zone	UBERON	made_real
anatomy	UBERON:0015148	tail hair	xref	EMAPA:37971	tail hair	UBERON	made_real
anatomy	UBERON:0015171	uterine spiral artery	xref	EMAPA:36612	spiral artery	UBERON	made_real
anatomy	UBERON:0015189	perineural vascular plexus	xref	EMAPA:35678	perineural vascular plexus	UBERON	made_real
anatomy	UBERON:0015214	arcuate ligament	xref	EMAPA:19236	arcuate ligament	UBERON	made_real
anatomy	UBERON:0015216	nasal meatus	xref	EMAPA:18593	nasal meatus	UBERON	made_real
anatomy	UBERON:0015219	middle nasal meatus	xref	EMAPA:19277	middle nasal meatus	UBERON	made_real
anatomy	UBERON:0015220	inferior nasal meatus	xref	EMAPA:19278	inferior nasal meatus	UBERON	made_real
anatomy	UBERON:0015243	lower part of vagina	xref	EMAPA:18999	sinovaginal bulb	UBERON	made_real
anatomy	UBERON:0015244	accessory olfactory bulb granule cell layer	xref	EMAPA:35109	accessory olfactory bulb granule cell layer	UBERON	made_real
anatomy	UBERON:0015245	septal olfactory organ	xref	EMAPA:35764	septal olfactory organ	UBERON	made_real
