semantic_type,clique_preferred_id,clique_preferred_label,clique_biolink_type,change_kind,added_kind,added_id,added_id_label,added_id_biolink_type,equivalent_ids
anatomy,UBERON:0002454,dorsal metacarpal artery,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:37079,dorsal metacarpal artery,biolink:AnatomicalEntity,UBERON:0002454|UMLS:C0447094|NCIT:C52980|EMAPA:37079|FMA:321491|FMA:70800|MA:0001944|SCTID:244320002|SNOMEDCT:91787002|Wikipedia:Dorsal_metacarpal_artery
anatomy,UBERON:0002455,common plantar digital arteries,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:37208,common plantar digital artery,biolink:AnatomicalEntity,UBERON:0002455|EMAPA:37208|MA:0001966|Wikipedia:Common_plantar_digital_arteries
anatomy,UBERON:0002456,internal thoracic artery,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:18617,internal thoracic artery,biolink:AnatomicalEntity,UBERON:0002456|UMLS:C0226276|NCIT:C52941|EHDAA2:0000880|EHDAA:8585|EMAPA:18617|FMA:3960|MA:0001982|MA:0001984|SCTID:244239009|SNOMEDCT:69327007|Wikipedia:Internal_thoracic_artery
anatomy,UBERON:0002457,intersomitic artery,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:17616,intersegmental artery,biolink:AnatomicalEntity,UBERON:0002457|EHDAA2:0000882|EHDAA:4340|EMAPA:17616|MA:0001985|SCTID:360401001|TAO:0001061|VHOG:0000225|XAO:0004165|ZFA:0001061
anatomy,UBERON:0002458,spinal artery,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:18241,spinal artery,biolink:AnatomicalEntity,UBERON:0002458|UMLS:C0447043|NCIT:C33587|EHDAA2:0001890|EHDAA:4355|EMAPA:18241|MA:0002043|SCTID:244228006|SNOMEDCT:244228006|TAO:0000682|Wikipedia:Spinal_artery|ZFA:0000682
anatomy,UBERON:0002459,inferior palpebral vein,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:37156,inferior palpebral vein,biolink:AnatomicalEntity,UBERON:0002459|UMLS:C1760539|NCIT:C53049|EMAPA:37156|FMA:50913|FMA:70847|MA:0002147|SCTID:422559003|SNOMEDCT:422559003
anatomy,UBERON:0002460,vesical vein,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:37205,vesical vein,biolink:AnatomicalEntity,UBERON:0002460|EMAPA:37205|MA:0002263|SCTID:12683000|Wikipedia:Vesical_veins
anatomy,UBERON:0002461,anterior abdominal wall muscle,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:17745,anterior abdominal wall muscle,biolink:AnatomicalEntity,UBERON:0002461|UMLS:C1744565|NCIT:C52890|EHDAA2:0000125|EMAPA:17745|FMA:20278|FMA:78435|MA:0002268|SNOMEDCT:424161004
anatomy,UBERON:0002462,erector spinae muscle group,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:18168,erector spinae,biolink:AnatomicalEntity,UBERON:0002462|UMLS:C0224301|NCIT:C52902|EHDAA2:0000454|EHDAA:9456|EMAPA:18168|FMA:71302|MA:0002289|SCTID:244852007|SNOMEDCT:44947003|VHOG:0000984|Wikipedia:Erector_spinae_muscles
anatomy,UBERON:0002463,muscle of posterior compartment of hindlimb stylopod,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:19145,hamstring muscle,biolink:AnatomicalEntity,UBERON:0002463|UMLS:C0584895|MESH:D000070633|NCIT:C53042|EHDAA2:0000727|EHDAA:8295|EMAPA:19145|FMA:81022|MA:0002312|SNOMEDCT:128511007|VHOG:0000844|Wikipedia:Hamstring|Wikipedia:Posterior_compartment_of_thigh
anatomy,UBERON:0002464,nerve trunk,biolink:AnatomicalEntity,expanded,promoted,EMAPA:16986,peripheral nerve trunk,biolink:AnatomicalEntity,UBERON:0002464|EMAPA:16986|EHDAA:4675|MA:0000229|MA:0002408|SCTID:281248001
anatomy,UBERON:0002465,lymphoid system,biolink:AnatomicalEntity,expanded,promoted,EMAPA:37664,lymphoid system,biolink:AnatomicalEntity,UBERON:0002465|UMLS:C0024235|NCIT:C12746|EMAPA:37664|ZFA:0000385|FMA:321899|FMA:7162|EHDAA2:0001043|EHDAA:8677|GAID:931|MA:0002435|MAT:0000197|MIAA:0000197|SCTID:362589007|SNOMEDCT:89890002|TAO:0000385|VHOG:0000842|Wikipedia:Lymphoid_system|XAO:0003199
anatomy,UBERON:0002467,filiform papilla,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:18873,filiform papillae,biolink:AnatomicalEntity,UBERON:0002467|UMLS:C0226966|UMLS:C0545782|UMLS:C1267556|NCIT:C32604|BIRNLEX:4104|EMAPA:18873|FMA:54820|FMA:71447|MA:0002678|SCTID:58743008|SNOMEDCT:368730008|SNOMEDCT:58743008|Wikipedia:Filiform_papilla
anatomy,UBERON:0002468,foliate papilla,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:32788,foliate papillae,biolink:AnatomicalEntity,UBERON:0002468|UMLS:C0226969|UMLS:C0545785|NCIT:C32619|BIRNLEX:4105|EMAPA:32788|FMA:54823|FMA:71450|MA:0002679|SCTID:362098003|SNOMEDCT:60692007|Wikipedia:Foliate_papilla
anatomy,UBERON:0002469,esophagus mucosa,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:26981,esophagus mucosa,biolink:AnatomicalEntity,UBERON:0002469|UMLS:C0227176|MESH:D000071041|NCIT:C32538|EMAPA:26981|FMA:62996|MA:0002680|SCTID:362127004|SNOMEDCT:82082004
anatomy,UBERON:0002470,autopod region,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:32722,autopod,biolink:AnatomicalEntity,UBERON:0002470|UMLS:C0687080|NCIT:C77660|EFO:0000877|EMAPA:32722|MA:0002714|MAT:0000091|MIAA:0000091|SCTID:95936004
anatomy,UBERON:0002473,intercerebral commissure,biolink:AnatomicalEntity,expanded,promoted,EMAPA:35435,intercerebral commissure,biolink:AnatomicalEntity,UBERON:0002473|EMAPA:35435|MA:0002721|SCTID:360567002|neuronames:1559
anatomy,UBERON:0002475,saphenous nerve,biolink:AnatomicalEntity,expanded,promoted,EMAPA:36625,saphenous nerve,biolink:AnatomicalEntity,UBERON:0002475|EMAPA:36625|MA:0002761|SCTID:181079005|Wikipedia:Saphenous_nerve
