semantic_type,preferred_id,preferred_label,biolink_type,member_count,equivalent_ids
anatomy,EMAPA:16200,optic sulcus neural ectoderm,biolink:AnatomicalEntity,1,EMAPA:16200
anatomy,EMAPA:16204,dorsal aorta,biolink:AnatomicalEntity,1,EMAPA:16204
anatomy,EMAPA:16209,primitive heart tube cardiac jelly,biolink:AnatomicalEntity,1,EMAPA:16209
anatomy,EMAPA:16210,primitive heart tube endocardial tube,biolink:AnatomicalEntity,1,EMAPA:16210
anatomy,EMAPA:16211,primitive heart tube cardiac muscle,biolink:AnatomicalEntity,1,EMAPA:16211
anatomy,EMAPA:16243,umbilical vein embryonic part,biolink:AnatomicalEntity,1,EMAPA:16243
anatomy,EMAPA:16244,vitelline vein embryonic part,biolink:AnatomicalEntity,1,EMAPA:16244
anatomy,EMAPA:16248,foregut diverticulum,biolink:AnatomicalEntity,1,EMAPA:16248
anatomy,EMAPA:16249,foregut diverticulum mesenchyme,biolink:AnatomicalEntity,1,EMAPA:16249
anatomy,EMAPA:16250,foregut diverticulum endoderm,biolink:AnatomicalEntity,1,EMAPA:16250
anatomy,EMAPA:16251,hindgut diverticulum,biolink:AnatomicalEntity,1,EMAPA:16251
anatomy,EMAPA:16252,hindgut diverticulum mesenchyme,biolink:AnatomicalEntity,1,EMAPA:16252
anatomy,EMAPA:16253,hindgut diverticulum endoderm,biolink:AnatomicalEntity,1,EMAPA:16253
anatomy,EMAPA:16254,primordial germ cell of hindgut,biolink:AnatomicalEntity,1,EMAPA:16254
anatomy,EMAPA:16264,allantois mesenchyme,biolink:AnatomicalEntity,1,EMAPA:16264
anatomy,EMAPA:16265,amnion mesenchyme,biolink:AnatomicalEntity,1,EMAPA:16265
anatomy,EMAPA:16267,yolk sac mesenchyme,biolink:AnatomicalEntity,1,EMAPA:16267
anatomy,EMAPA:16274,2nd branchial membrane endoderm,biolink:AnatomicalEntity,1,EMAPA:16274
anatomy,EMAPA:16276,2nd branchial pouch endoderm,biolink:AnatomicalEntity,1,EMAPA:16276
anatomy,EMAPA:16277,2nd branchial arch ectoderm,biolink:AnatomicalEntity,1,EMAPA:16277
anatomy,EMAPA:16285,future midbrain roof plate,biolink:AnatomicalEntity,1,EMAPA:16285
anatomy,EMAPA:16286,future hindbrain posterior to rhombomere 5,biolink:AnatomicalEntity,1,EMAPA:16286
anatomy,EMAPA:16287,future hindbrain posterior to rhombomere 5 floor plate,biolink:AnatomicalEntity,1,EMAPA:16287
anatomy,EMAPA:16288,future hindbrain posterior to rhombomere 5 neural fold,biolink:AnatomicalEntity,1,EMAPA:16288
anatomy,EMAPA:16289,future hindbrain posterior to rhombomere 5 neural crest,biolink:AnatomicalEntity,1,EMAPA:16289
anatomy,EMAPA:16292,rhombomere 1 neural fold,biolink:AnatomicalEntity,1,EMAPA:16292
anatomy,EMAPA:16295,rhombomere 2 neural fold,biolink:AnatomicalEntity,1,EMAPA:16295
anatomy,EMAPA:16296,rhombomere 2 neural crest,biolink:AnatomicalEntity,1,EMAPA:16296
anatomy,EMAPA:16299,rhombomere 3 neural fold,biolink:AnatomicalEntity,1,EMAPA:16299
anatomy,EMAPA:16300,rhombomere 3 neural crest,biolink:AnatomicalEntity,1,EMAPA:16300
anatomy,EMAPA:16303,rhombomere 4 neural fold,biolink:AnatomicalEntity,1,EMAPA:16303
anatomy,EMAPA:16304,rhombomere 4 neural crest,biolink:AnatomicalEntity,1,EMAPA:16304
anatomy,EMAPA:16307,rhombomere 5 neural fold,biolink:AnatomicalEntity,1,EMAPA:16307
anatomy,EMAPA:16308,rhombomere 5 neural crest,biolink:AnatomicalEntity,1,EMAPA:16308
anatomy,EMAPA:16309,rhombomere 1 neural crest,biolink:AnatomicalEntity,1,EMAPA:16309
anatomy,EMAPA:16310,neural luminal occlusion,biolink:AnatomicalEntity,1,EMAPA:16310
anatomy,EMAPA:16313,somite 09,biolink:AnatomicalEntity,1,EMAPA:16313
anatomy,EMAPA:16314,somite 10,biolink:AnatomicalEntity,1,EMAPA:16314
anatomy,EMAPA:16315,somite 11,biolink:AnatomicalEntity,1,EMAPA:16315
anatomy,EMAPA:16316,somite 12,biolink:AnatomicalEntity,1,EMAPA:16316
anatomy,EMAPA:16317,somite 13,biolink:AnatomicalEntity,1,EMAPA:16317
anatomy,EMAPA:16319,septum transversum hepatic component,biolink:AnatomicalEntity,1,EMAPA:16319
anatomy,EMAPA:16320,septum transversum non-hepatic component,biolink:AnatomicalEntity,1,EMAPA:16320
anatomy,EMAPA:16326,optic pit neural ectoderm,biolink:AnatomicalEntity,1,EMAPA:16326
anatomy,EMAPA:16334,bulbus cordis caudal half,biolink:AnatomicalEntity,1,EMAPA:16334
anatomy,EMAPA:16335,bulbus cordis caudal half cardiac jelly,biolink:AnatomicalEntity,1,EMAPA:16335
anatomy,EMAPA:16336,bulbus cordis caudal half endocardial tube,biolink:AnatomicalEntity,1,EMAPA:16336
anatomy,EMAPA:16337,bulbus cordis caudal half cardiac muscle,biolink:AnatomicalEntity,1,EMAPA:16337
anatomy,EMAPA:16339,bulbus cordis rostral half cardiac jelly,biolink:AnatomicalEntity,1,EMAPA:16339
anatomy,EMAPA:16340,bulbus cordis rostral half endocardial tube,biolink:AnatomicalEntity,1,EMAPA:16340
anatomy,EMAPA:16341,bulbus cordis rostral half cardiac muscle,biolink:AnatomicalEntity,1,EMAPA:16341
anatomy,EMAPA:16344,common atrial chamber endocardial tube,biolink:AnatomicalEntity,1,EMAPA:16344
anatomy,EMAPA:16345,common atrial chamber cardiac muscle,biolink:AnatomicalEntity,1,EMAPA:16345
anatomy,EMAPA:16348,outflow tract endocardial tube,biolink:AnatomicalEntity,1,EMAPA:16348
anatomy,EMAPA:16349,outflow tract mesenchyme,biolink:AnatomicalEntity,1,EMAPA:16349
anatomy,EMAPA:16351,primitive ventricle cardiac jelly,biolink:AnatomicalEntity,1,EMAPA:16351
anatomy,EMAPA:16352,primitive ventricle endocardial tube,biolink:AnatomicalEntity,1,EMAPA:16352
anatomy,EMAPA:16353,primitive ventricle cardiac muscle,biolink:AnatomicalEntity,1,EMAPA:16353
anatomy,EMAPA:16358,left umbilical vein embryonic part,biolink:AnatomicalEntity,1,EMAPA:16358
anatomy,EMAPA:16362,thyroid primordium mesenchyme,biolink:AnatomicalEntity,1,EMAPA:16362
anatomy,EMAPA:16369,presumptive nephric duct,biolink:AnatomicalEntity,1,EMAPA:16369
anatomy,EMAPA:16371,extraembryonic arterial system,biolink:AnatomicalEntity,1,EMAPA:16371
anatomy,EMAPA:16372,umbilical artery extraembryonic part,biolink:AnatomicalEntity,1,EMAPA:16372
anatomy,EMAPA:16373,common umbilical artery,biolink:AnatomicalEntity,1,EMAPA:16373
anatomy,EMAPA:16376,common umbilical vein,biolink:AnatomicalEntity,1,EMAPA:16376
anatomy,EMAPA:16378,right umbilical vein extraembryonic part,biolink:AnatomicalEntity,1,EMAPA:16378
anatomy,EMAPA:16379,vitelline vein extraembryonic part,biolink:AnatomicalEntity,1,EMAPA:16379
anatomy,EMAPA:16386,1st branchial arch mandibular component mesenchyme derived from head mesoderm,biolink:AnatomicalEntity,1,EMAPA:16386
anatomy,EMAPA:16387,1st branchial arch mandibular component mesenchyme derived from neural crest,biolink:AnatomicalEntity,1,EMAPA:16387
anatomy,EMAPA:16392,1st branchial arch maxillary component mesenchyme derived from head mesoderm,biolink:AnatomicalEntity,1,EMAPA:16392
anatomy,EMAPA:16393,1st branchial arch maxillary component mesenchyme derived from neural crest,biolink:AnatomicalEntity,1,EMAPA:16393
anatomy,EMAPA:16394,1st branchial arch maxillary-mandibular groove,biolink:AnatomicalEntity,1,EMAPA:16394
anatomy,EMAPA:16398,2nd branchial membrane ectoderm,biolink:AnatomicalEntity,1,EMAPA:16398
anatomy,EMAPA:16400,3rd branchial arch ectoderm,biolink:AnatomicalEntity,1,EMAPA:16400
anatomy,EMAPA:16410,mesenchyme derived from somatopleure,biolink:AnatomicalEntity,1,EMAPA:16410
anatomy,EMAPA:16411,mesenchyme derived from splanchnopleure,biolink:AnatomicalEntity,1,EMAPA:16411
anatomy,EMAPA:16414,somite 05 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16414
anatomy,EMAPA:16415,somite 05 myocoele,biolink:AnatomicalEntity,1,EMAPA:16415
anatomy,EMAPA:16416,somite 05 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16416
anatomy,EMAPA:16417,somite 06 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16417
anatomy,EMAPA:16418,somite 06 myocoele,biolink:AnatomicalEntity,1,EMAPA:16418
anatomy,EMAPA:16419,somite 06 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16419
anatomy,EMAPA:16420,somite 07 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16420
anatomy,EMAPA:16421,somite 07 myocoele,biolink:AnatomicalEntity,1,EMAPA:16421
anatomy,EMAPA:16422,somite 07 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16422
anatomy,EMAPA:16423,somite 08 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16423
anatomy,EMAPA:16424,somite 08 myocoele,biolink:AnatomicalEntity,1,EMAPA:16424
anatomy,EMAPA:16425,somite 08 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16425
anatomy,EMAPA:16426,somite 09 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16426
anatomy,EMAPA:16427,somite 09 myocoele,biolink:AnatomicalEntity,1,EMAPA:16427
anatomy,EMAPA:16428,somite 09 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16428
anatomy,EMAPA:16429,somite 10 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16429
anatomy,EMAPA:16430,somite 10 myocoele,biolink:AnatomicalEntity,1,EMAPA:16430
anatomy,EMAPA:16431,somite 10 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16431
anatomy,EMAPA:16432,somite 11 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16432
anatomy,EMAPA:16433,somite 11 myocoele,biolink:AnatomicalEntity,1,EMAPA:16433
anatomy,EMAPA:16434,somite 11 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16434
anatomy,EMAPA:16435,somite 12 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16435
anatomy,EMAPA:16436,somite 12 myocoele,biolink:AnatomicalEntity,1,EMAPA:16436
anatomy,EMAPA:16437,somite 12 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16437
anatomy,EMAPA:16438,somite 13 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16438
anatomy,EMAPA:16439,somite 13 myocoele,biolink:AnatomicalEntity,1,EMAPA:16439
anatomy,EMAPA:16440,somite 13 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16440
anatomy,EMAPA:16441,somite 14,biolink:AnatomicalEntity,1,EMAPA:16441
anatomy,EMAPA:16442,somite 14 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16442
anatomy,EMAPA:16443,somite 14 myocoele,biolink:AnatomicalEntity,1,EMAPA:16443
anatomy,EMAPA:16444,somite 14 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16444
anatomy,EMAPA:16445,somite 15,biolink:AnatomicalEntity,1,EMAPA:16445
anatomy,EMAPA:16446,somite 15 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16446
