compendium,before_leader,before_size,destination,destination_kind,after_size,member_count,example_members
Disease.txt,MONDO:0008965,10,MONDO:0008965,kept,9,9,DOID:0050834;MESH:D058747;MONDO:0008965;NCIT:C75100;SNOMEDCT:47535005
Disease.txt,MONDO:0008977,19,(dropped),dropped,0,1,MEDDRA:10008734
Disease.txt,MONDO:0008977,19,MONDO:0008977,kept,18,18,DOID:3371;EFO:0000333;HP:0006765;MEDDRA:10008726;MEDDRA:10008737
Disease.txt,MONDO:0008978,12,(dropped),dropped,0,1,MEDDRA:10008747
Disease.txt,MONDO:0008978,12,MONDO:0008978,kept,11,11,DOID:3302;HP:0010762;MESH:D002817;MONDO:0008978;NCIT:C2947
Disease.txt,MONDO:0008999,9,(dropped),dropped,0,1,MEDDRA:10049066
Disease.txt,MONDO:0008999,9,MONDO:0008999,kept,8,8,DOID:0111590;MESH:C536438;MONDO:0008999;OMIM:216550;SNOMEDCT:56604005
Disease.txt,MONDO:0009010,11,(dropped),dropped,0,1,MEDDRA:10022599
Disease.txt,MONDO:0009010,11,MONDO:0009010,kept,10,10,HP:0011611;MONDO:0009010;MP:0004157;MP:0011676;NCIT:C98958
Disease.txt,MONDO:0009020,17,MONDO:0009020,kept,15,15,DOID:2565;ICD10:H18.55;ICD9:371.55;MESH:C537834;MESH:C563270
Disease.txt,MONDO:0009020,17,UMLS:C0024439,regrouped,2,2,MEDDRA:10025406;UMLS:C0024439
Disease.txt,MONDO:0009026,10,(dropped),dropped,0,1,MEDDRA:10067380
Disease.txt,MONDO:0009026,10,MONDO:0009026,kept,9,9,DOID:0050469;MESH:D056685;MONDO:0009026;NCIT:C84652;OMIM:218040
Disease.txt,MONDO:0009044,9,(dropped),dropped,0,1,MEDDRA:10011386
Disease.txt,MONDO:0009044,9,MONDO:0009044,kept,8,8,DOID:3803;MESH:D003414;MONDO:0009044;NCIT:C84656;SNOMEDCT:28259009
Disease.txt,MONDO:0009050,15,(dropped),dropped,0,1,MEDDRA:10035109
Disease.txt,MONDO:0009050,15,MONDO:0009050,kept,14,14,DOID:7004;HP:0008291;MEDDRA:10011651;MEDDRA:10090077;MESH:D049913
Disease.txt,MONDO:0009061,14,(dropped),dropped,0,1,MEDDRA:10011762
Disease.txt,MONDO:0009061,14,MONDO:0009061,kept,13,13,DOID:1485;ICD10:E84;ICD9:277.0;MEDDRA:10011764;MEDDRA:10028141
Disease.txt,MONDO:0009067,13,(dropped),dropped,0,1,MEDDRA:10011778
Disease.txt,MONDO:0009067,13,MONDO:0009067,kept,12,12,DOID:9266;HP:0003131;ICD10:E72.01;MESH:D003555;MONDO:0009067
Disease.txt,MONDO:0009072,15,(dropped),dropped,0,1,MEDDRA:10048411
Disease.txt,MONDO:0009072,15,MONDO:0009072,kept,14,14,DOID:2785;EFO:1000890;HP:0001305;ICD10:Q03.1;MESH:C538507
Disease.txt,MONDO:0009106,9,(dropped),dropped,0,1,MEDDRA:10012750
Disease.txt,MONDO:0009106,9,MONDO:0009106,kept,8,8,MONDO:0009106;NCIT:C98913;OMIM:222500;SNOMEDCT:445308004;SNOMEDCT:49351009
Disease.txt,MONDO:0009109,10,(dropped),dropped,0,1,MEDDRA:10058300
Disease.txt,MONDO:0009109,10,MONDO:0009109,kept,9,9,DOID:0060439;MESH:C562687;MONDO:0009109;NCIT:C121563;OMIM:222700
Disease.txt,MONDO:0009114,14,(dropped),dropped,0,1,MEDDRA:10066387
Disease.txt,MONDO:0009114,14,MONDO:0009114,kept,13,13,DOID:0111633;ICD10:E74.31;MESH:C538139;MONDO:0009114;NCIT:C128190
Disease.txt,MONDO:0009124,10,(dropped),dropped,0,1,MEDDRA:10059589
Disease.txt,MONDO:0009124,10,MONDO:0009124,kept,9,9,DOID:14796;MESH:C535718;MONDO:0009124;NCIT:C125591;OMIM:223370
Disease.txt,MONDO:0009126,14,(moved-to-other-compendium),moved,0,6,HP:0002247;MEDDRA:10013812;MEDDRA:10013813;MP:0003272;SNOMEDCT:51118003
Disease.txt,MONDO:0009126,14,MONDO:0009126,kept,8,8,DOID:0080216;MESH:C535720;MONDO:0009126;NCIT:C101025;OMIM:223400
Disease.txt,MONDO:0009131,12,(dropped),dropped,0,1,MEDDRA:10039179
Disease.txt,MONDO:0009131,12,MONDO:0009131,kept,11,11,DOID:11589;ICD10:G90.1;MEDDRA:10016204;MESH:D004402;MONDO:0009131
Disease.txt,MONDO:0009133,14,(dropped),dropped,0,1,MEDDRA:10013140
Disease.txt,MONDO:0009133,14,MONDO:0009133,kept,13,13,DOID:0050997;MEDDRA:10059256;MEDDRA:10091841;MESH:C535731;MONDO:0009133
Disease.txt,MONDO:0009144,14,(dropped),dropped,0,1,MEDDRA:10014075
Disease.txt,MONDO:0009144,14,MONDO:0009144,kept,13,13,DOID:14289;EFO:0007244;HP:0010316;ICD10:Q22.5;ICD9:746.2
Disease.txt,MONDO:0009162,13,(dropped),dropped,0,1,MEDDRA:10008724
Disease.txt,MONDO:0009162,13,MONDO:0009162,kept,12,12,DOID:12714;ICD10:Q77.6;ICD9:756.55;MEDDRA:10076418;MESH:D004613
Disease.txt,MONDO:0009169,14,(dropped),dropped,0,1,MEDDRA:10014663
Disease.txt,MONDO:0009169,14,MONDO:0009169,kept,13,13,DOID:12929;EFO:0007251;HP:0001706;ICD10:I42.4;ICD9:425.3
Disease.txt,MONDO:0009175,11,(dropped),dropped,0,1,MEDDRA:10014954
Disease.txt,MONDO:0009175,11,MONDO:0009175,kept,10,10,HP:0045029;MEDDRA:10048450;MESH:C562487;MONDO:0009175;NCIT:C112116
Disease.txt,MONDO:0009176,10,(dropped),dropped,0,1,MEDDRA:10052339
Disease.txt,MONDO:0009176,10,MONDO:0009176,kept,9,9,DOID:13777;MEDDRA:10052357;MESH:D004819;MONDO:0009176;NCIT:C126877
Disease.txt,MONDO:0009191,8,(dropped),dropped,0,1,MEDDRA:10062600
Disease.txt,MONDO:0009191,8,MONDO:0009191,kept,7,7,MESH:C537038;MONDO:0009191;OMIM:226960;SNOMEDCT:721975004;UMLS:C0796021
Disease.txt,MONDO:0009221,8,(dropped),dropped,0,1,MEDDRA:10068448
Disease.txt,MONDO:0009221,8,MONDO:0009221,kept,7,7,MESH:C537918;MONDO:0009221;OMIM:228200;SNOMEDCT:1230098009;UMLS:C1856790
Disease.txt,MONDO:0009249,15,(dropped),dropped,0,1,MEDDRA:10019878
Disease.txt,MONDO:0009249,15,MONDO:0009249,kept,14,14,DOID:9869;HP:0005973;ICD10:E74.12;ICD9:271.2;MEDDRA:10017397
Disease.txt,MONDO:0009252,13,(dropped),dropped,0,1,MEDDRA:10015487
Disease.txt,MONDO:0009252,13,MONDO:0009252,kept,12,12,DOID:0111680;ICD10:E74.11;MESH:C538068;MONDO:0009252;OMIM:229800
Disease.txt,MONDO:0009264,14,(moved-to-other-compendium),moved,0,4,HP:0001543;MEDDRA:10018046;SNOMEDCT:72951007;UMLS:C0265706
Disease.txt,MONDO:0009264,14,MONDO:0009264,kept,12,10,DOID:11044;EFO:1000949;ICD10:Q79.3;ICD9:756.73;MESH:D020139
Disease.txt,MONDO:0009276,17,(dropped),dropped,0,1,MEDDRA:10057473
Disease.txt,MONDO:0009276,17,MONDO:0009276,kept,16,16,DOID:2217;MESH:C565549;MESH:C565550;MESH:D001606;MONDO:0009276
Disease.txt,MONDO:0009290,12,(dropped),dropped,0,1,MEDDRA:10053185
Disease.txt,MONDO:0009290,12,MONDO:0009290,kept,11,11,DOID:2752;ICD10:E74.02;MEDDRA:10036143;MEDDRA:10045253;MESH:D006009
Disease.txt,MONDO:0009291,21,(dropped),dropped,0,1,MEDDRA:10053250
Disease.txt,MONDO:0009291,21,MONDO:0009291,kept,20,20,DOID:2748;ICD10:E74.03;MEDDRA:10011945;MEDDRA:10016983;MESH:C566889
Disease.txt,MONDO:0009292,17,(dropped),dropped,0,1,MEDDRA:10053249
Disease.txt,MONDO:0009292,17,MONDO:0009292,kept,16,16,DOID:2750;MEDDRA:10018467;MEDDRA:10053258;MESH:C537275;MESH:C565539
Disease.txt,MONDO:0009293,15,(dropped),dropped,0,1,MEDDRA:10018462
Disease.txt,MONDO:0009293,15,MONDO:0009293,kept,14,14,DOID:2746;ICD10:E74.04;MEDDRA:10026969;MEDDRA:10026970;MEDDRA:10045269
Disease.txt,MONDO:0009294,13,(dropped),dropped,0,1,MEDDRA:10053240
Disease.txt,MONDO:0009294,13,MONDO:0009294,kept,12,12,DOID:2754;MEDDRA:10053251;MEDDRA:10053254;MEDDRA:10089392;MESH:D006013
Disease.txt,MONDO:0009295,13,(dropped),dropped,0,1,MEDDRA:10053241
Disease.txt,MONDO:0009295,13,MONDO:0009295,kept,12,12,DOID:11721;ICD10:E74.09;MEDDRA:10053252;MEDDRA:10053255;MESH:D006014
Disease.txt,MONDO:0009297,16,MONDO:0009297,kept,13,13,DOID:0070613;DOID:9432;ICD10:E74.818;ICD9:271.4;MEDDRA:10073689
Disease.txt,MONDO:0009297,16,UMLS:C0017980,regrouped,3,3,MEDDRA:10018479;MEDDRA:10038457;UMLS:C0017980
Disease.txt,MONDO:0009303,22,(dropped),dropped,0,1,MEDDRA:10018620
Disease.txt,MONDO:0009303,22,MONDO:0009303,kept,21,21,DOID:9808;EFO:0007290;ICD10:M31.0;ICD9:446.21;MEDDRA:10042811
Disease.txt,MONDO:0009324,11,(dropped),dropped,0,1,MEDDRA:10019165
Disease.txt,MONDO:0009324,11,MONDO:0009324,kept,10,10,DOID:1060;ICD10:E72.02;MESH:D006250;MONDO:0009324;NCIT:C84748
Disease.txt,MONDO:0009326,12,(dropped),dropped,0,1,MEDDRA:10019263
Disease.txt,MONDO:0009326,12,MONDO:0009326,kept,11,11,DOID:990;ICD10:Q24.6;ICD9:746.86;MEDDRA:10010494;MESH:C535758
Disease.txt,MONDO:0009352,8,(dropped),dropped,0,1,MEDDRA:10071093
Disease.txt,MONDO:0009352,8,MONDO:0009352,kept,7,7,MONDO:0009352;OMIM:236200;SNOMEDCT:24308003;UMLS:C0751202;UMLS:C3150344
Disease.txt,MONDO:0009366,15,(dropped),dropped,0,1,MEDDRA:10029773
Disease.txt,MONDO:0009366,15,MONDO:0009366,kept,14,14,DOID:0070687;DOID:1572;EFO:1001065;HP:0002343;ICD10:G91.2
Disease.txt,MONDO:0009367,10,(dropped),dropped,0,1,MEDDRA:10052312
Disease.txt,MONDO:0009367,10,MONDO:0009367,kept,9,9,DOID:0111255;MEDDRA:10091424;MESH:C538159;MONDO:0009367;OMIM:236700
Disease.txt,MONDO:0009376,14,(dropped),dropped,0,1,MEDDRA:10058297
Disease.txt,MONDO:0009376,14,MONDO:0009376,kept,13,13,DOID:9280;EFO:0007193;MEDDRA:10071106;MESH:D020165;MONDO:0009376
Disease.txt,MONDO:0009379,7,(dropped),dropped,0,1,MEDDRA:10039234
Disease.txt,MONDO:0009379,7,MONDO:0009379,kept,6,6,MONDO:0009379;OMIM:237450;SNOMEDCT:32891000;UMLS:C0220991;medgen:67435
Disease.txt,MONDO:0009380,11,(dropped),dropped,0,1,MEDDRA:10013800
Disease.txt,MONDO:0009380,11,MONDO:0009380,kept,10,10,DOID:12308;ICD10:E80.6;MESH:D007566;MONDO:0009380;NCIT:C34741
Disease.txt,MONDO:0009400,9,(dropped),dropped,0,1,MEDDRA:10058513
Disease.txt,MONDO:0009400,9,MONDO:0009400,kept,8,8,DOID:0080542;MEDDRA:10058511;MONDO:0009400;OMIM:239500;SNOMEDCT:61071003
Disease.txt,MONDO:0009401,11,(dropped),dropped,0,2,MEDDRA:10058512;MEDDRA:10058514
Disease.txt,MONDO:0009401,11,MONDO:0009401,kept,9,9,DOID:0080543;MESH:C538385;MONDO:0009401;OMIM:239510;SNOMEDCT:124177001
Disease.txt,MONDO:0009412,16,(dropped),dropped,0,2,MEDDRA:10039768;MEDDRA:10047623
Disease.txt,MONDO:0009412,16,MONDO:0009412,kept,14,14,DOID:13724;EFO:1001169;HP:0100510;ICD10:E54;MEDDRA:10003454
Disease.txt,MONDO:0009458,10,(dropped),dropped,0,1,MEDDRA:10048699
Disease.txt,MONDO:0009458,10,MONDO:0009458,kept,9,9,DOID:0060490;MESH:C536629;MONDO:0009458;NCIT:C135087;OMIM:242900
Disease.txt,MONDO:0009465,7,MONDO:0009465,kept,6,6,MESH:C562441;MONDO:0009465;SNOMEDCT:95472001;UMLS:C0220744;medgen:65090
Disease.txt,MONDO:0009465,7,MONDO:0800030,regrouped,7,1,MEDDRA:10028210
Disease.txt,MONDO:0009468,16,(dropped),dropped,0,1,MEDDRA:10037149
Disease.txt,MONDO:0009468,16,MONDO:0009468,kept,15,15,DOID:11459;EFO:1001132;ICD10:G93.2;ICD9:348.2;MEDDRA:10004277
Disease.txt,MONDO:0009476,14,(dropped),dropped,0,1,MEDDRA:10010626
Disease.txt,MONDO:0009476,14,MONDO:0009476,kept,13,13,HP:0005235;MESH:C538260;MONDO:0009476;NCIT:C101027;NCIT:C98828
Disease.txt,MONDO:0009484,7,MONDO:0009484,kept,10,7,DOID:0110594;ICD10:Q34.8;MONDO:0009484;NCIT:C128117;OMIM:244400
Disease.txt,MONDO:0009499,13,(dropped),dropped,0,1,MEDDRA:10023492
Disease.txt,MONDO:0009499,13,MONDO:0009499,kept,12,12,DOID:10587;ICD10:E75.23;MEDDRA:10017611;MESH:D007965;MONDO:0009499
Disease.txt,MONDO:0009509,12,(dropped),dropped,0,2,MEDDRA:10052075;MEDDRA:10052083
Disease.txt,MONDO:0009509,12,MONDO:0009509,kept,10,10,DOID:2538;EFO:1001010;MESH:D018887;MONDO:0009509;NCIT:C168598
Disease.txt,MONDO:0009514,11,(dropped),dropped,0,1,MEDDRA:10056710
Disease.txt,MONDO:0009514,11,MONDO:0009514,kept,10,10,DOID:1930;ICD10:Q87.84;MESH:D007849;MONDO:0009514;NCIT:C34760
Disease.txt,MONDO:0009519,8,(dropped),dropped,0,1,MEDDRA:10024265
Disease.txt,MONDO:0009519,8,MONDO:0009519,kept,7,7,MONDO:0009519;NCIT:C3160;OMIM:246400;SNOMEDCT:118614007;SNOMEDCT:128812005
Disease.txt,MONDO:0009532,11,(dropped),dropped,0,1,MEDDRA:10068361
Disease.txt,MONDO:0009532,11,MONDO:0009532,kept,10,10,DOID:0060469;ICD10:Q93.88;MEDDRA:10079426;MONDO:0009532;NCIT:C124852
Disease.txt,MONDO:0009537,11,(dropped),dropped,0,1,MEDDRA:10062997
Disease.txt,MONDO:0009537,11,MONDO:0009537,kept,10,10,DOID:0050159;HP:0006527;MESH:C562489;MONDO:0009537;NCIT:C27558
Disease.txt,MONDO:0009563,12,(dropped),dropped,0,1,MEDDRA:10026817
Disease.txt,MONDO:0009563,12,MONDO:0009563,kept,11,11,DOID:9269;ICD10:E71.0;MEDDRA:10026818;MESH:D008375;MONDO:0009563
Disease.txt,MONDO:0009595,10,(dropped),dropped,0,1,MEDDRA:10069596
Disease.txt,MONDO:0009595,10,MONDO:0009595,kept,9,9,DOID:14773;MESH:C535916;MONDO:0009595;NCIT:C61245;OMIM:250250
Disease.txt,MONDO:0009623,12,(dropped),dropped,0,1,MEDDRA:10067857
Disease.txt,MONDO:0009623,12,MONDO:0009623,kept,11,11,DOID:7400;MESH:C565380;MESH:D049932;MONDO:0009623;NCIT:C4692
Disease.txt,MONDO:0009635,11,(dropped),dropped,0,1,MEDDRA:10068494
Disease.txt,MONDO:0009635,11,MONDO:0009635,kept,10,10,DOID:0060775;ICD10:P78.3;MEDDRA:10068504;MESH:C537470;MONDO:0009635
