drugbank_curie,label,unii,ncit,ncit_label,biolink_type,future_biolink_type,signal
DRUGBANK:DB16601,Citronella oil,UNII:QYO8Q067D0,NCIT:C71856,Citronella Oil,biolink:Food,,botanical-flag
DRUGBANK:DB16606,Vitis vinifera seed,UNII:C34U15ICXA,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB16610,Thyme oil,UNII:2UK410MY6B,NCIT:C107367,Thyme Oil,biolink:Food,,botanical-flag
DRUGBANK:DB16618,Niaouli oil,UNII:D50IC2T8FU,NCIT:C72212,Niaouli Oil,biolink:Food,,botanical-flag
DRUGBANK:DB16632,Chamaecyparis obtusa whole,UNII:80ZNL1G5XY,,,biolink:Food,,botanical-flag
DRUGBANK:DB16633,Cryptomeria japonica bark,UNII:5VB6Q5926T,,,biolink:Food,,botanical-flag
DRUGBANK:DB16636,Gastrodia elata whole,UNII:08F85I5YAV,,,biolink:Food,,botanical-flag
DRUGBANK:DB16638,Cnidium monnieri fruit,UNII:V1IA3S3CUS,NCIT:C73874,Cnidium monnieri Fruit,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB16639,Juniper tar,UNII:1Q84T0P2G3,NCIT:C71827,Juniper Tar,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB17721,Astragalus mongholicus root polysaccharides,UNII:71WW2LNL50,NCIT:C103822,Injectable Astragalus membranaceus Polysaccharide,biolink:Food,,botanical-flag
DRUGBANK:DB17914,Sorghum,UNII:CUL9PN8ELJ,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB18685,Whey,UNII:8617Z5FMF6,NCIT:C71947,Whey,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
