drugbank_curie,label,unii,ncit,ncit_label,biolink_type,future_biolink_type,signal
DRUGBANK:DB14312,Glycyrrhiza glabra,UNII:2788Z9758H,NCIT:C80295,Glycyrrhiza glabra Root,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14313,Lawsonia inermis leaf,UNII:E5818YZ355,NCIT:C72518,Lawsonia inermis Leaf,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14314,Indigofera tinctoria leaf,UNII:2K7DF8HZDM,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14315,Calendula officinalis whole,UNII:PFR03EBU0H,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14316,Tangerine peel,UNII:JU3D414057,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14317,Pomegranate,UNII:56687D1Z4D,NCIT:C73929,Pomegranate,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14319,Magnolia kobus flowering top,UNII:X2725LP5TL,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14320,Eucalyptus globulus leaf,UNII:S546YLW6E6,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14321,Bambusa vulgaris top,UNII:FIW80T6P6V,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14322,Coconut oil,UNII:Q9L0O73W7L,NCIT:C65347,Coconut Oil,biolink:Food,,ncit-food
DRUGBANK:DB14323,Grape seed oil,UNII:930MLC8XGG,NCIT:C107311,Grape Seed Oil,biolink:Food,,botanical-flag
DRUGBANK:DB14324,Apricot kernel oil,UNII:54JB35T06A,NCIT:C107264,Apricot Kernel Oil,biolink:Food,,botanical-flag
DRUGBANK:DB14325,Schisandra chinensis fruit,UNII:ABS794681C,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
