drugbank_curie,label,unii,unii_preferred_name,ncbitaxon,ncbitaxon_label,unii_ncit,unii_ncit_label,unii_ncit_parents,unii_ncit_semantic_types,has_extract_marker
DRUGBANK:DB10289,Streptococcus pneumoniae type 14 capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:SK54I0S386,STREPTOCOCCUS PNEUMONIAE TYPE 14 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77772,Streptococcus pneumoniae Type 14 Capsular Polysaccharide Diphtheria CRM197 Protein Conjugate Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10290,Streptococcus pneumoniae type 18C capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:XK87D9J012,STREPTOCOCCUS PNEUMONIAE TYPE 18C CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77776,Streptococcus pneumoniae Type 18C Capsular Polysaccharide Diphtheria CRM197 Protein Conjugate Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10291,Streptococcus pneumoniae type 19F capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:2E1M7F958B,STREPTOCOCCUS PNEUMONIAE TYPE 19F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77779,Streptococcus pneumoniae Type 19F Capsular Polysaccharide Diphtheria CRM197 Protein Conjugate Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10292,Streptococcus pneumoniae type 23F capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:25N8E57V6T,STREPTOCOCCUS PNEUMONIAE TYPE 23F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77784,Streptococcus pneumoniae Type 23F Capsular Polysaccharide Diphtheria CRM197 Protein Conjugate Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10293,Streptococcus pneumoniae type 1 capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:54EC0SE5PZ,STREPTOCOCCUS PNEUMONIAE TYPE 1 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,,,,,False
DRUGBANK:DB10294,Streptococcus pneumoniae type 3 capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:2VF3V7175U,STREPTOCOCCUS PNEUMONIAE TYPE 3 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,,,,,False
DRUGBANK:DB10295,Streptococcus pneumoniae type 5 capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:5SKG37872O,STREPTOCOCCUS PNEUMONIAE TYPE 5 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,,,,,False
DRUGBANK:DB10297,Streptococcus pneumoniae type 7F capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:0K0S2P98ZJ,STREPTOCOCCUS PNEUMONIAE TYPE 7F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,,,,,False
DRUGBANK:DB10298,Streptococcus pneumoniae type 19A capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:B970MQT365,STREPTOCOCCUS PNEUMONIAE TYPE 19A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,,,,,False
DRUGBANK:DB10315,Measles virus vaccine live attenuated,UNII:MFZ8I7277D,MEASLES VIRUS STRAIN ENDERS' ATTENUATED EDMONSTON LIVE ANTIGEN,NCBITaxon:11234,Measles morbillivirus,NCIT:C77754,Measles Virus Strain Enders' Attenuated Edmonston Live Antigen,NCIT:C75798 (Measles Virus Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10316,Mumps virus strain B level jeryl lynn live antigen,UNII:47QB6MX9KU,MUMPS VIRUS STRAIN B LEVEL JERYL LYNN LIVE ANTIGEN,NCBITaxon:11161,,NCIT:C77755,Mumps Virus Strain B Level Jeryl Lynn Live Antigen,NCIT:C75800 (Mumps Virus Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10317,Rubella virus vaccine,UNII:52202H034Z,RUBELLA VIRUS STRAIN WISTAR RA 27/3 LIVE ANTIGEN,NCBITaxon:11041,Rubella virus,NCIT:C77764,Rubella Virus Strain Wistar RA 27/3 Live Antigen,NCIT:C75815 (Rubella Virus Antigen),T109=Organic Chemical|T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10318,Varicella zoster vaccine (live/attenuated),UNII:GPV39ZGD8C,VARICELLA-ZOSTER VIRUS STRAIN OKA/MERCK LIVE ANTIGEN,NCBITaxon:10335,Human alphaherpesvirus 3 (Varicella-zoster virus),NCIT:C77799,Varicella-Zoster Virus Strain Oka/Merck Live Antigen,NCIT:C1920 (Attenuated Live Virus Vaccine),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10320,Streptococcus pneumoniae type 2 capsular polysaccharide antigen,UNII:E11P4F3X4S,STREPTOCOCCUS PNEUMONIAE TYPE 2 CAPSULAR POLYSACCHARIDE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77780,Streptococcus pneumoniae Type 2 Capsular Polysaccharide Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10323,Streptococcus pneumoniae type 5 capsular polysaccharide antigen,UNII:N8R9GL539D,STREPTOCOCCUS PNEUMONIAE TYPE 5 CAPSULAR POLYSACCHARIDE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77789,Streptococcus pneumoniae Type 5 Capsular Polysaccharide Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10324,Streptococcus pneumoniae type 6b capsular polysaccharide antigen,UNII:57F7254B6Q,STREPTOCOCCUS PNEUMONIAE TYPE 6B CAPSULAR POLYSACCHARIDE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77790,Streptococcus pneumoniae Type 6B Capsular Polysaccharide Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10325,Streptococcus pneumoniae type 7f capsular polysaccharide antigen,UNII:X1K54R2P9I,STREPTOCOCCUS PNEUMONIAE TYPE 7F CAPSULAR POLYSACCHARIDE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77792,Streptococcus pneumoniae Type 7F Capsular Polysaccharide Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10326,Streptococcus pneumoniae type 8 capsular polysaccharide antigen,UNII:669818346F,STREPTOCOCCUS PNEUMONIAE TYPE 8 CAPSULAR POLYSACCHARIDE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77793,Streptococcus pneumoniae Type 8 Capsular Polysaccharide Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10327,Streptococcus pneumoniae type 9n capsular polysaccharide antigen,UNII:313LJP87ET,STREPTOCOCCUS PNEUMONIAE TYPE 9N CAPSULAR POLYSACCHARIDE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77794,Streptococcus pneumoniae Type 9N Capsular Polysaccharide Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10328,Streptococcus pneumoniae type 9v capsular polysaccharide antigen,UNII:DL82PE6ANE,STREPTOCOCCUS PNEUMONIAE TYPE 9V CAPSULAR POLYSACCHARIDE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77795,Streptococcus pneumoniae Type 9V Capsular Polysaccharide Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10335,Streptococcus pneumoniae type 18c capsular polysaccharide antigen,UNII:23036553F6,STREPTOCOCCUS PNEUMONIAE TYPE 18C CAPSULAR POLYSACCHARIDE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77775,Streptococcus pneumoniae Type 18C Capsular Polysaccharide Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10336,Streptococcus pneumoniae type 19f capsular polysaccharide antigen,UNII:5K0VU709JD,STREPTOCOCCUS PNEUMONIAE TYPE 19F CAPSULAR POLYSACCHARIDE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77778,Streptococcus pneumoniae Type 19F Capsular Polysaccharide Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10337,Streptococcus pneumoniae type 19a capsular polysaccharide antigen,UNII:9W2T4OSF98,STREPTOCOCCUS PNEUMONIAE TYPE 19A CAPSULAR POLYSACCHARIDE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77777,Streptococcus pneumoniae Type 19A Capsular Polysaccharide Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10338,Streptococcus pneumoniae type 20 capsular polysaccharide antigen,UNII:V3FC0DK9XS,STREPTOCOCCUS PNEUMONIAE TYPE 20 CAPSULAR POLYSACCHARIDE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77781,Streptococcus pneumoniae Type 20 Capsular Polysaccharide Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10339,Streptococcus pneumoniae type 22f capsular polysaccharide antigen,UNII:7NLV25LOSI,STREPTOCOCCUS PNEUMONIAE TYPE 22F CAPSULAR POLYSACCHARIDE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77782,Streptococcus pneumoniae Type 22F Capsular Polysaccharide Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10340,Streptococcus pneumoniae type 23f capsular polysaccharide antigen,UNII:PYD255827T,STREPTOCOCCUS PNEUMONIAE TYPE 23F CAPSULAR POLYSACCHARIDE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77783,Streptococcus pneumoniae Type 23F Capsular Polysaccharide Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10341,Streptococcus pneumoniae type 33f capsular polysaccharide antigen,UNII:2MGG3XW1L2,STREPTOCOCCUS PNEUMONIAE TYPE 33F CAPSULAR POLYSACCHARIDE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77786,Streptococcus pneumoniae Type 33F Capsular Polysaccharide Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10343,Bacillus calmette-guerin substrain tice live antigen,UNII:2XQ558L16Z,BACILLUS CALMETTE-GUERIN SUBSTRAIN TICE LIVE ANTIGEN,NCBITaxon:33892,Mycobacterium tuberculosis variant bovis BCG,NCIT:C75774,Bacillus Calmette-Guerin Substrain Tice Live Antigen,NCIT:C77178 (Bacillus Calmette-Guerin Antigen),T007=Bacterium,False
DRUGBANK:DB10399,Felis catus skin,UNII:5308ED00EL,FELIS CATUS SKIN,NCBITaxon:9685,Felis catus (domestic cat),,,,,True
DRUGBANK:DB10400,Dermatophagoides farinae,UNII:PR9U2YPF3Q,DERMATOPHAGOIDES FARINAE,NCBITaxon:6954,Dermatophagoides farinae (American house dust mite),,,,,True
DRUGBANK:DB10401,Dermatophagoides pteronyssinus,UNII:57L1Z5378K,DERMATOPHAGOIDES PTERONYSSINUS,NCBITaxon:6956,Dermatophagoides pteronyssinus (European house dust mite),,,,,True
DRUGBANK:DB10406,Bos taurus skin,UNII:7J12CD6O9L,BOS TAURUS SKIN,NCBITaxon:9913,Bos taurus (domestic cattle),,,,,True
DRUGBANK:DB10409,Canis lupus familiaris skin,UNII:X2W7CLE97T,CANIS LUPUS FAMILIARIS SKIN,NCBITaxon:9615,Canis lupus familiaris (dog),,,,,False
DRUGBANK:DB10410,Equus caballus skin,UNII:88VZV9HGT4,EQUUS CABALLUS SKIN,NCBITaxon:9796,Equus caballus (horse),,,,,False
DRUGBANK:DB10412,Mus musculus skin,UNII:390AN9GB09,MUS MUSCULUS SKIN,NCBITaxon:10090,Mus musculus (house mouse),,,,,True
DRUGBANK:DB10415,Rabbit,UNII:O5V0F26RUW,RABBIT,NCBITaxon:9986,Oryctolagus cuniculus (rabbit),NCIT:C14264,Rabbit,NCIT:C14358 (Leporidae),T015=Mammal,False
DRUGBANK:DB10416,Cavia porcellus skin,UNII:GM3H4U6QS8,CAVIA PORCELLUS SKIN,NCBITaxon:10141,Cavia porcellus (domestic guinea pig),,,,,True
DRUGBANK:DB10417,Periplaneta americana,UNII:2RQ1L9N089,PERIPLANETA AMERICANA,NCBITaxon:6978,Periplaneta americana (American cockroach),,,,,True
DRUGBANK:DB10418,Blatella germanica,UNII:G9O67I0A8Q,BLATTELLA GERMANICA,NCBITaxon:6973,Blattella germanica (German cockroach),NCIT:C87504,Blatella germanica,NCIT:C14227 (Insect),T204=Eukaryote,True
DRUGBANK:DB10419,Solenopsis invicta,UNII:5O7CR4P444,SOLENOPSIS INVICTA,NCBITaxon:13686,Solenopsis invicta (red fire ant),,,,,True
DRUGBANK:DB10420,Gallus gallus feather,UNII:1FCM16V0FV,GALLUS GALLUS FEATHER,NCBITaxon:9031,Gallus gallus (chicken),,,,,True
DRUGBANK:DB10421,Anas platyrhynchos feather,UNII:83B65P4796,ANAS PLATYRHYNCHOS FEATHER,NCBITaxon:8839,Anas platyrhynchos (mallard),,,,,True
DRUGBANK:DB10422,Anser anser feather,UNII:15XI414745,ANSER ANSER FEATHER,NCBITaxon:8843,Anser anser (Domestic goose),,,,,True
DRUGBANK:DB10424,Alternaria alternata,UNII:52B29REC7H,ALTERNARIA ALTERNATA,NCBITaxon:5599,Alternaria alternata,NCIT:C87529,Alternaria alternata,NCIT:C119320 (Alternaria),T004=Fungus,False
DRUGBANK:DB10425,Aspergillus fumigatus,UNII:X88DF51T48,ASPERGILLUS FUMIGATUS,NCBITaxon:5085,,NCIT:C77182,Aspergillus fumigatus,NCIT:C77180 (Aspergillus),T004=Fungus,False
DRUGBANK:DB10426,Aspergillus niger var. niger,UNII:9IOA40ANG6,ASPERGILLUS NIGER VAR. NIGER,NCBITaxon:5061,Aspergillus niger,,,,,False
DRUGBANK:DB10427,Aureobasidium pullulans var. pullutans,UNII:D1A2NG69CK,AUREOBASIDIUM PULLULANS VAR. PULLUTANS,NCBITaxon:178873,,,,,,True
DRUGBANK:DB10428,Botrytis cinerea,UNII:TBW53313S7,BOTRYTIS CINEREA,NCBITaxon:40559,Botrytis cinerea (gray fruit mold),,,,,False
DRUGBANK:DB10429,Candida albicans,UNII:4D7G21HDBC,CANDIDA ALBICANS,NCBITaxon:5476,Candida albicans,NCIT:C77170,Candida albicans,NCIT:C77163 (Candida),T004=Fungus,False
DRUGBANK:DB10430,Chaetomium globosum,UNII:5016WB8B8A,CHAETOMIUM GLOBOSUM,NCBITaxon:38033,Chaetomium globosum,,,,,False
DRUGBANK:DB10431,Cladosporium cladosporioides,UNII:4ZWY20GTGO,CLADOSPORIUM CLADOSPORIOIDES,NCBITaxon:29917,Cladosporium cladosporioides,,,,,False
DRUGBANK:DB10432,Cladosporium sphaerospermum,UNII:P87YCA1U8R,CLADOSPORIUM SPHAEROSPERMUM,NCBITaxon:92950,Cladosporium sphaerospermum,,,,,False
DRUGBANK:DB10433,Cochliobolus sativus,UNII:3LN5B70U4W,COCHLIOBOLUS SATIVUS,NCBITaxon:45130,Bipolaris sorokiniana,,,,,False
DRUGBANK:DB10434,Epicoccum nigrum,UNII:87U156LEN7,EPICOCCUM NIGRUM,NCBITaxon:105696,Epicoccum nigrum,,,,,False
DRUGBANK:DB10435,Fusarium oxysporum vasinfectum,UNII:6M98DC08TZ,FUSARIUM OXYSPORUM VASINFECTUM,NCBITaxon:61374,Fusarium oxysporum f. sp. vasinfectum,,,,,False
DRUGBANK:DB10436,Helminthosporium solani,UNII:U6Z259H815,HELMINTHOSPORIUM SOLANI,NCBITaxon:58128,Helminthosporium solani,,,,,False
DRUGBANK:DB10437,Mucor plumbeus,UNII:D7401PWY6E,MUCOR PLUMBEUS,NCBITaxon:97098,Mucor plumbeus,,,,,False
DRUGBANK:DB10438,Neurospora intermedia,UNII:2072U60DUI,NEUROSPORA INTERMEDIA,NCBITaxon:5142,Neurospora intermedia,,,,,False
DRUGBANK:DB10439,Penicillium chrysogenum var. chrysogenum,UNII:3Y1PE1GCIG,PENICILLIUM CHRYSOGENUM VAR. CHRYSOGENUM,NCBITaxon:5076,Penicillium chrysogenum,,,,,False
DRUGBANK:DB10440,Phoma exigua var. exigua,UNII:8JAG41IE4M,PHOMA EXIGUA VAR. EXIGUA,NCBITaxon:79605,Boeremia exigua var. exigua,,,,,False
DRUGBANK:DB10441,Rhizopus arrhizus var. arrhizus,UNII:8476849N1Y,RHIZOPUS ARRHIZUS,NCBITaxon:64495,Rhizopus arrhizus,,,,,True
DRUGBANK:DB10442,Rhodotorula rubra,UNII:15W81V867R,RHODOTORULA RUBRA,NCBITaxon:5537,Rhodotorula mucilaginosa,NCIT:C87517,Rhodotorula rubra,NCIT:C124370 (Rhodotorula),T004=Fungus,False
DRUGBANK:DB10443,Ustilago maydis,UNII:4K7Z7K7SWG,USTILAGO MAYDIS,NCBITaxon:5270,Mycosarcoma maydis (corn smut),NCIT:C87523,Ustilago maydis,NCIT:C125979 (Ustilago),T004=Fungus,True
DRUGBANK:DB10444,Ustilago tritici,UNII:BV82OL2IZ8,USTILAGO TRITICI,NCBITaxon:117174,Ustilago tritici,NCIT:C87525,Ustilago tritici,NCIT:C125979 (Ustilago),T004=Fungus,True
DRUGBANK:DB10445,Stemphylium solani,UNII:1IEK4UDP5M,STEMPHYLIUM SOLANI,NCBITaxon:110364,Stemphylium solani,,,,,False
DRUGBANK:DB10446,Trichophyton mentagrophytes,UNII:199I7J3JIV,TRICHOPHYTON MENTAGROPHYTES,NCBITaxon:523103,Trichophyton mentagrophytes,,,,,False
DRUGBANK:DB10447,Saccharomyces cerevisiae,UNII:978D8U419H,SACCHAROMYCES CEREVISIAE,NCBITaxon:4932,Saccharomyces cerevisiae (brewer's yeast),NCIT:C14271,Saccharomyces cerevisiae,NCIT:C77167 (Ascomycota),T004=Fungus,False
DRUGBANK:DB10448,Aspergillus oryzae,UNII:Q6Z8UK5R3G,ASPERGILLUS FLAVUS VAR. ORYZAE,NCBITaxon:5062,Aspergillus oryzae,NCIT:C87507,Aspergillus flavus var. oryzae,NCIT:C77180 (Aspergillus),T004=Fungus,False
DRUGBANK:DB10449,Aspergillus repens,UNII:SQ89E6LOME,ASPERGILLUS REPENS,NCBITaxon:469278,,NCIT:C87509,Aspergillus repens,NCIT:C77180 (Aspergillus),T004=Fungus,False
DRUGBANK:DB10450,Aspergillus terreus,UNII:QBN8K7055X,ASPERGILLUS TERREUS,NCBITaxon:33178,Aspergillus terreus,NCIT:C87511,Aspergillus terreus,NCIT:C77180 (Aspergillus),T004=Fungus,False
DRUGBANK:DB10499,Felis catus hair,UNII:1564HD0N96,FELIS CATUS HAIR,NCBITaxon:9685,Felis catus (domestic cat),NCIT:C80294,Felis catus Hair,NCIT:C106128 (Animal-based Natural Product),T121=Pharmacologic Substance|T129=Immunologic Factor,True
DRUGBANK:DB10516,Casein,UNII:48268V50D5,CASEIN,NCBITaxon:9913,Bos taurus (domestic cattle),NCIT:C73337,Casein,NCIT:C210691 (Protein Supplement),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance",True
DRUGBANK:DB10519,Chicken,UNII:0X8Q245Y7B,CHICKEN,NCBITaxon:9031,Gallus gallus (chicken),NCIT:C14193,Chicken,NCIT:C14189 (Aves),T012=Bird,False
DRUGBANK:DB10526,Red king crab,UNII:E88KKF623O,RED KING CRAB,NCBITaxon:6741,Paralithodes camtschaticus (red king crab),,,,,False
DRUGBANK:DB10531,Flounder,UNII:F8PTG78KRB,SOUTHERN FLOUNDER,NCBITaxon:141886,Paralichthys lethostigma (southern flounder),,,,,True
DRUGBANK:DB10541,Lobster,UNII:6T362S6JF6,AMERICAN LOBSTER,NCBITaxon:6706,Homarus americanus (American lobster),,,,,True
DRUGBANK:DB10544,Cultivated mushroom,UNII:54C8E6W6JY,CULTIVATED MUSHROOM,NCBITaxon:5341,Agaricus bisporus (cultivated mushroom),NCIT:C71949,Mushroom Extract,NCIT:C1505 (Dietary Supplement),T168=Food,True
DRUGBANK:DB10581,Khuskia oryzae,UNII:VK8C112WTS,KHUSKIA ORYZAE,NCBITaxon:114231,Nigrospora sphaerica,,,,,False
DRUGBANK:DB10603,Meriones unguiculatus skin,UNII:9WN2H714TG,MERIONES UNGUICULATUS SKIN,NCBITaxon:10047,Meriones unguiculatus (Mongolian gerbil),,,,,True
DRUGBANK:DB10604,Capra hircus skin,UNII:JLG9853E2P,CAPRA HIRCUS SKIN,NCBITaxon:9925,Capra hircus (goat),,,,,True
DRUGBANK:DB10605,Mesocricetus auratus skin,UNII:3K873H631W,MESOCRICETUS AURATUS SKIN,NCBITaxon:10036,Mesocricetus auratus (golden hamster),,,,,True
DRUGBANK:DB10606,Sus scrofa skin,UNII:3EM4VW6TQN,SUS SCROFA SKIN,NCBITaxon:9823,Sus scrofa (pig),,,,,True
DRUGBANK:DB10607,Oryctolagus cuniculus skin,UNII:Z91WAU43WC,ORYCTOLAGUS CUNICULUS SKIN,NCBITaxon:9986,Oryctolagus cuniculus (rabbit),,,,,True
DRUGBANK:DB10608,Rattus norvegicus skin,UNII:Y69HPD48AI,RATTUS NORVEGICUS SKIN,NCBITaxon:10116,Rattus norvegicus (Norway rat),,,,,True
DRUGBANK:DB10609,Bombyx mori fiber,UNII:6LK42KUV6W,BOMBYX MORI FIBER,NCBITaxon:7091,Bombyx mori (domestic silkworm),NCIT:C79611,Plant Part,NCIT:C106104 (Plant-based Natural Product),T002=Plant,True
DRUGBANK:DB10614,Common carp,UNII:ZB2SV6JJY5,COMMON CARP,NCBITaxon:7962,Cyprinus carpio (common carp),,,,,False
DRUGBANK:DB10615,Haddock,UNII:0WLY635722,HADDOCK,NCBITaxon:8056,Melanogrammus aeglefinus (haddock),,,,,False
DRUGBANK:DB10616,Pacific halibut,UNII:BKZ683617P,PACIFIC HALIBUT,NCBITaxon:195615,Hippoglossus stenolepis (Pacific halibut),,,,,False
DRUGBANK:DB10621,Atlantic salmon,UNII:7062I37LB3,ATLANTIC SALMON,NCBITaxon:8030,Salmo salar (Atlantic salmon),,,,,False
DRUGBANK:DB10622,European pilchard,UNII:76780GX08D,EUROPEAN PILCHARD,NCBITaxon:27697,Sardina pilchardus (European sardine),,,,,True
DRUGBANK:DB10688,Musca domestica,UNII:PV7823W303,MUSCA DOMESTICA,NCBITaxon:7370,Musca domestica (house fly),NCIT:C87500,Musca domestica,NCIT:C14197 (Diptera),T204=Eukaryote,True
DRUGBANK:DB10690,Ctenocephalides canis,UNII:LN7IM9RDEA,CTENOCEPHALIDES CANIS,NCBITaxon:50434,Ctenocephalides canis (dog flea),,,,,True
DRUGBANK:DB10691,Aedes taeniorhynchus,UNII:BN2DNW66IQ,AEDES TAENIORHYNCHUS,NCBITaxon:329105,Ochlerotatus taeniorhynchus,NCIT:C87499,Aedes taeniorhynchus,NCIT:C14197 (Diptera),T204=Eukaryote,True
DRUGBANK:DB10693,Ctenocephalides felis,UNII:5X9Y89ENI9,CTENOCEPHALIDES FELIS,NCBITaxon:7515,Ctenocephalides felis (cat flea),,,,,True
DRUGBANK:DB10694,Aspergillus flavus,UNII:3J888Y9L13,ASPERGILLUS FLAVUS,NCBITaxon:5059,Aspergillus flavus,NCIT:C77181,Aspergillus flavus,NCIT:C77180 (Aspergillus),T004=Fungus,False
DRUGBANK:DB10695,Eurotium herbariorum,UNII:49W168AES4,EUROTIUM HERBARIORUM,NCBITaxon:41413,Aspergillus glaucus,,,,,False
DRUGBANK:DB10696,Trichothecium roseum,UNII:TGO054E31O,TRICHOTHECIUM ROSEUM,NCBITaxon:47278,Trichothecium roseum,,,,,False
DRUGBANK:DB10697,Curvularia inaequalis,UNII:W042YAB8JC,CURVULARIA INAEQUALIS,NCBITaxon:38902,Curvularia inaequalis,,,,,True
DRUGBANK:DB10699,Geotrichum candidum,UNII:5964J742O8,GEOTRICHUM CANDIDUM,NCBITaxon:27317,Geotrichum galactomycetum,,,,,False
DRUGBANK:DB10700,Phoma glomerata,UNII:UPX000VMIF,PHOMA GLOMERATA,NCBITaxon:93145,,,,,,False
DRUGBANK:DB10701,Rhodotorula mucilaginosa,UNII:62TY3X4N9Z,RHODOTORULA MUCILAGINOSA,NCBITaxon:5537,Rhodotorula mucilaginosa,NCIT:C86027,Rhodotorula mucilaginosa,NCIT:C124370 (Rhodotorula),T004=Fungus,False
DRUGBANK:DB10702,Stemphylium sarciniforme,UNII:XQ14H1462M,STEMPHYLIUM SARCINIFORME,NCBITaxon:119934,Stemphylium sarciniforme,,,,,False
DRUGBANK:DB10703,Trichoderma harzianum,UNII:CA33Q4013Q,TRICHODERMA HARZIANUM,NCBITaxon:5544,Trichoderma harzianum,,,,,False
DRUGBANK:DB10704,Ustilago avenae,UNII:YIH315U1TU,USTILAGO AVENAE,NCBITaxon:120650,Ustilago avenae,NCIT:C87521,Ustilago avenae,NCIT:C125979 (Ustilago),T004=Fungus,True
DRUGBANK:DB10705,Tilletia caries,UNII:C7000B9PQI,TILLETIA CARIES,NCBITaxon:13290,Tilletia caries (wheat bunt fungus),NCIT:C87520,Tilletia caries,NCIT:C77169 (Basidiomycota),T004=Fungus,False
DRUGBANK:DB10706,Puccinia graminis,UNII:O0HJ02QBWN,PUCCINIA GRAMINIS,NCBITaxon:5297,Puccinia graminis (wheat stem rust),NCIT:C87514,Puccinia graminis,NCIT:C77169 (Basidiomycota),T004=Fungus,True
