target,target_prefix,doid_subject_count,doid_subjects
ICD10:Q87.8,ICD10,20,DOID:0050764|DOID:0050779|DOID:0060225|DOID:0060233|DOID:0060464|DOID:0060482|DOID:0060641|DOID:0060747|DOID:0060802|DOID:0060804|DOID:0060809|DOID:0060811|DOID:0060813|DOID:0060816|DOID:0060820|DOID:0060822|DOID:0060824|DOID:0060826|DOID:0060830|DOID:0110595
ICD10:Q87.89,ICD10,19,DOID:0110123|DOID:0110124|DOID:0110125|DOID:0110126|DOID:0110127|DOID:0110128|DOID:0110129|DOID:0110130|DOID:0110131|DOID:0110132|DOID:0110133|DOID:0110134|DOID:0110135|DOID:0110136|DOID:0110137|DOID:0110138|DOID:0110139|DOID:0110140|DOID:0110141
ICD10:Q93.5,ICD10,19,DOID:0060390|DOID:0060391|DOID:0060394|DOID:0060395|DOID:0060397|DOID:0060400|DOID:0060404|DOID:0060405|DOID:0060407|DOID:0060409|DOID:0060411|DOID:0060412|DOID:0060415|DOID:0060417|DOID:0060422|DOID:0060425|DOID:0060428|DOID:0060732|DOID:0060768
ICD10:K00.5,ICD10,18,DOID:0110052|DOID:0110053|DOID:0110054|DOID:0110055|DOID:0110056|DOID:0110057|DOID:0110058|DOID:0110059|DOID:0110060|DOID:0110061|DOID:0110062|DOID:0110063|DOID:0110064|DOID:0110065|DOID:0110066|DOID:2187|DOID:4154|DOID:701
ICD10:Q78.0,ICD10,18,DOID:0110335|DOID:0110336|DOID:0110337|DOID:0110338|DOID:0110339|DOID:0110340|DOID:0110341|DOID:0110342|DOID:0110343|DOID:0110344|DOID:0110345|DOID:0110346|DOID:0110347|DOID:0110348|DOID:0110349|DOID:0110350|DOID:0110351|DOID:12347
MESH:D008579,MESH,18,DOID:0080842|DOID:1138|DOID:3565|DOID:3772|DOID:4141|DOID:4210|DOID:4211|DOID:4587|DOID:4588|DOID:4594|DOID:6114|DOID:6548|DOID:6869|DOID:7210|DOID:7211|DOID:7212|DOID:7213|DOID:8057
ICD10:E75.2,ICD10,16,DOID:0060787|DOID:0060789|DOID:0060790|DOID:0060791|DOID:0060798|DOID:0060868|DOID:0070111|DOID:0070112|DOID:0070113|DOID:0070114|DOID:0090111|DOID:0110957|DOID:0110958|DOID:0110959|DOID:0110960|DOID:0110961
ICD10:G24.1,ICD10,16,DOID:0050835|DOID:0060730|DOID:0090034|DOID:0090037|DOID:0090038|DOID:0090039|DOID:0090041|DOID:0090042|DOID:0090043|DOID:0090046|DOID:0090048|DOID:0090050|DOID:0090055|DOID:0090056|DOID:0090057|DOID:0090058
ICD10:Q82.8,ICD10,16,DOID:0050429|DOID:0070129|DOID:0070130|DOID:0070131|DOID:0070132|DOID:0070133|DOID:0070134|DOID:0070135|DOID:0070136|DOID:0070137|DOID:0070138|DOID:0070140|DOID:0070141|DOID:0070142|DOID:2732|DOID:3144
ICD10:E75.4,ICD10,15,DOID:0110720|DOID:0110721|DOID:0110722|DOID:0110723|DOID:0110724|DOID:0110725|DOID:0110726|DOID:0110727|DOID:0110728|DOID:0110729|DOID:0110730|DOID:0110731|DOID:0110732|DOID:0110733|DOID:14503
ICD10:Q87.0,ICD10,14,DOID:0060316|DOID:0060359|DOID:0060380|DOID:0070757|DOID:0090001|DOID:0110716|DOID:0110717|DOID:0110718|DOID:0110719|DOID:0111604|DOID:13501|DOID:2907|DOID:4258|DOID:4501
ICD10:Q87.1,ICD10,13,DOID:0050569|DOID:0060578|DOID:0060580|DOID:0060581|DOID:0060582|DOID:0060583|DOID:0060584|DOID:0060585|DOID:0060586|DOID:0060587|DOID:0060588|DOID:0060608|DOID:0060609
ICD10:G30,ICD10,12,DOID:0110035|DOID:0110037|DOID:0110038|DOID:0110039|DOID:0110041|DOID:0110043|DOID:0110044|DOID:0110045|DOID:0110046|DOID:0110047|DOID:0110048|DOID:10652
ICD10:I42.8,ICD10,12,DOID:0060675|DOID:0110070|DOID:0110072|DOID:0110073|DOID:0110074|DOID:0110075|DOID:0110076|DOID:0110077|DOID:0110081|DOID:0110082|DOID:0110083|DOID:0110084
ICD10:I45.8,ICD10,12,DOID:0110644|DOID:0110645|DOID:0110646|DOID:0110647|DOID:0110648|DOID:0110650|DOID:0110651|DOID:0110652|DOID:0110653|DOID:0110654|DOID:0110655|DOID:0110656
ICD10:Q77.2,ICD10,12,DOID:0050592|DOID:0110085|DOID:0110086|DOID:0110087|DOID:0110088|DOID:0110089|DOID:0110090|DOID:0110091|DOID:0110092|DOID:0110093|DOID:0110094|DOID:0110095
ICD10:I49.8,ICD10,10,DOID:0050451|DOID:0110218|DOID:0110219|DOID:0110220|DOID:0110221|DOID:0110222|DOID:0110223|DOID:0110224|DOID:0110225|DOID:0110226
ICD10:Q04.3,ICD10,10,DOID:0050453|DOID:0050777|DOID:0060270|DOID:0060276|DOID:0060277|DOID:0060278|DOID:0060807|DOID:0090137|DOID:0110096|DOID:4626
ICD10:Q21.1,ICD10,10,DOID:0110106|DOID:0110107|DOID:0110108|DOID:0110109|DOID:0110110|DOID:0110111|DOID:0110112|DOID:0110113|DOID:0110114|DOID:1882
ICD10:Q80.2,ICD10,10,DOID:0060656|DOID:0060710|DOID:0060711|DOID:0060712|DOID:0060714|DOID:0060715|DOID:0060716|DOID:0060717|DOID:0060718|DOID:0060719
ICD10:D84.1,ICD10,9,DOID:0060295|DOID:0060297|DOID:0060298|DOID:0060299|DOID:0060300|DOID:0060301|DOID:0060302|DOID:0060303|DOID:626
ICD10:Q82.1,ICD10,9,DOID:0050427|DOID:0110843|DOID:0110844|DOID:0110845|DOID:0110846|DOID:0110847|DOID:0110848|DOID:0110849|DOID:0110850
ICD10:Q92.3,ICD10,9,DOID:0060430|DOID:0060431|DOID:0060432|DOID:0060433|DOID:0060434|DOID:0060435|DOID:0060436|DOID:0060459|DOID:0060460
MESH:D001254,MESH,9,DOID:3069|DOID:3078|DOID:4851|DOID:5077|DOID:6726|DOID:6811|DOID:7005|DOID:7007|DOID:7008
ICD0:9811/3,ICD0,8,DOID:0070623|DOID:0070624|DOID:0070625|DOID:0070626|DOID:0070627|DOID:0070628|DOID:0081411|DOID:0081412
ICD0:9861/3,ICD0,8,DOID:0070323|DOID:0070629|DOID:0070630|DOID:0070631|DOID:0070632|DOID:0070633|DOID:0081095|DOID:9119
ICD10:E03.1,ICD10,8,DOID:0050328|DOID:0070123|DOID:0070124|DOID:0070125|DOID:0070126|DOID:0070127|DOID:0070128|DOID:0111140
ICD10:G71.2,ICD10,8,DOID:0110632|DOID:0110633|DOID:0110634|DOID:0110635|DOID:0110637|DOID:0110639|DOID:0110640|DOID:0112374
ICD10:H18.5,ICD10,8,DOID:0060445|DOID:0060446|DOID:0060447|DOID:0060450|DOID:0060452|DOID:0060454|DOID:0060457|DOID:2566
ICD10:Q61.9,ICD10,8,DOID:0050778|DOID:0070115|DOID:0070116|DOID:0070117|DOID:0070118|DOID:0070119|DOID:0070120|DOID:0070122
ICD10:Q87.2,ICD10,8,DOID:0060468|DOID:0060861|DOID:0090024|DOID:14679|DOID:14699|DOID:1933|DOID:2926|DOID:9467
ICD10:N04.1,ICD10,7,DOID:0111128|DOID:0111129|DOID:0111130|DOID:0111131|DOID:0111132|DOID:0111133|DOID:0111134
ICD10:P78.3,ICD10,7,DOID:0060775|DOID:0060776|DOID:0060777|DOID:0060778|DOID:0060779|DOID:0060780|DOID:0060781
ICD10:Q11.0,ICD10,7,DOID:0060835|DOID:0060836|DOID:0060838|DOID:0060839|DOID:0060840|DOID:0060841|DOID:0060842
ICD10:Q87.19,ICD10,7,DOID:0060254|DOID:11725|DOID:14681|DOID:14796|DOID:2962|DOID:3490|DOID:6683
ORDO:2440,ORDO,7,DOID:0090020|DOID:0090021|DOID:0090022|DOID:0090023|DOID:0090025|DOID:0090026|DOID:0090027
ORDO:2542,ORDO,7,DOID:0060835|DOID:0060836|DOID:0060838|DOID:0060839|DOID:0060840|DOID:0060841|DOID:0060842
SNOMEDCT_US_2025_09_01:266218008,SNOMEDCT_US_2025_09_01,7,DOID:0050133|DOID:12711|DOID:13450|DOID:13564|DOID:13902|DOID:14484|DOID:1731
ICD0:9396/3,ICD0,6,DOID:0080888|DOID:0080892|DOID:0081252|DOID:0081253|DOID:0081254|DOID:0081255
ICD10:E26.8,ICD10,6,DOID:0110142|DOID:0110143|DOID:0110144|DOID:0110145|DOID:0110146|DOID:0110147
ICD10:E74.0,ICD10,6,DOID:0090101|DOID:0111040|DOID:0111041|DOID:0111042|DOID:0111043|DOID:2747
ICD10:E83.4,ICD10,6,DOID:0060879|DOID:0060880|DOID:0060882|DOID:0060883|DOID:0060884|DOID:0060885
ICD10:G23.0,ICD10,6,DOID:0110735|DOID:0110736|DOID:0110738|DOID:0110739|DOID:0110740|DOID:3981
ICD10:G24.8,ICD10,6,DOID:0090047|DOID:0090049|DOID:0090051|DOID:0090052|DOID:0090053|DOID:0090054
ICD10:I47.2,ICD10,6,DOID:0060674|DOID:0060675|DOID:0060676|DOID:0060677|DOID:0060678|DOID:0060679
ICD10:Q77.3,ICD10,6,DOID:0060292|DOID:0060293|DOID:0110851|DOID:0110852|DOID:0110853|DOID:2581
MESH:C574275,MESH,6,DOID:0090020|DOID:0090022|DOID:0090023|DOID:0090025|DOID:0090026|DOID:0090027
MESH:D002292,MESH,6,DOID:4450|DOID:4464|DOID:4465|DOID:4467|DOID:4471|DOID:4473
