target,target_prefix,doid_subject_count,doid_subjects
MESH:D008080,MESH,3,DOID:3382|DOID:5690|DOID:5702
MESH:D009085,MESH,3,DOID:0111391|DOID:0111392|DOID:12804
MESH:D009134,MESH,3,DOID:0111552|DOID:12377|DOID:318
MESH:D009373,MESH,3,DOID:2994|DOID:3095|DOID:688
MESH:D009494,MESH,3,DOID:10035|DOID:10039|DOID:9988
MESH:D009759,MESH,3,DOID:11771|DOID:13174|DOID:9650
MESH:D010009,MESH,3,DOID:0111788|DOID:12721|DOID:2256
MESH:D010211,MESH,3,DOID:10175|DOID:146|DOID:6929
MESH:D010392,MESH,3,DOID:0060851|DOID:0080850|DOID:9182
MESH:D010854,MESH,3,DOID:0050133|DOID:12711|DOID:13902
MESH:D010911,MESH,3,DOID:1785|DOID:3829|DOID:4916
MESH:D011546,MESH,3,DOID:0060854|DOID:0060855|DOID:4479
MESH:D011657,MESH,3,DOID:5870|DOID:9498|DOID:9503
MESH:D012170,MESH,3,DOID:13514|DOID:1727|DOID:2450
MESH:D012734,MESH,3,DOID:1923|DOID:3763|DOID:3765
MESH:D013981,MESH,3,DOID:10600|DOID:2768|DOID:2769
MESH:D014715,MESH,3,DOID:13003|DOID:13095|DOID:223
MESH:D014897,MESH,3,DOID:0050530|DOID:0060160|DOID:12376
MESH:D015356,MESH,3,DOID:13094|DOID:13098|DOID:8483
MESH:D015470,MESH,3,DOID:0081086|DOID:0081087|DOID:9119
MESH:D015835,MESH,3,DOID:10235|DOID:1279|DOID:538
MESH:D015840,MESH,3,DOID:10864|DOID:10866|DOID:11550
MESH:D016472,MESH,3,DOID:230|DOID:231|DOID:4873
MESH:D018317,MESH,3,DOID:1192|DOID:3193|DOID:4697
MESH:D020191,MESH,3,DOID:0060162|DOID:0111444|DOID:891
MESH:D020422,MESH,3,DOID:1188|DOID:1802|DOID:1835
MESH:D020528,MESH,3,DOID:0050783|DOID:0050784|DOID:0050785
MESH:D020967,MESH,3,DOID:0050759|DOID:0111538|DOID:450
MESH:D034721,MESH,3,DOID:349|DOID:4660|DOID:4798
MESH:D049309,MESH,3,DOID:172|DOID:174|DOID:4322
MESH:D054221,MESH,3,DOID:0060402|DOID:0060469|DOID:0111169
MESH:D054463,MESH,3,DOID:0111866|DOID:0111868|DOID:2960
NCIT:C126329,NCIT,3,DOID:0050439|DOID:0110828|DOID:0110829
NCIT:C148261,NCIT,3,DOID:0060782|DOID:0060783|DOID:0060784
ORDO:101046,ORDO,3,DOID:0060748|DOID:0060751|DOID:0060754
ORDO:163717,ORDO,3,DOID:0060749|DOID:0060750|DOID:0060752
ORDO:169147,ORDO,3,DOID:0060295|DOID:0060297|DOID:0060298
ORDO:1896,ORDO,3,DOID:0060782|DOID:0060783|DOID:0060784
ORDO:2254,ORDO,3,DOID:0060265|DOID:0060266|DOID:0112322
ORDO:3107,ORDO,3,DOID:0060765|DOID:0060766|DOID:0060767
ORDO:47045,ORDO,3,DOID:0090061|DOID:0090062|DOID:0090065
ORDO:7,ORDO,3,DOID:0060565|DOID:0060571|DOID:0060572
SNOMEDCT_US_2025_09_01:201096007,SNOMEDCT_US_2025_09_01,3,DOID:11684|DOID:6498|DOID:6945
SNOMEDCT_US_2025_09_01:254915003,SNOMEDCT_US_2025_09_01,3,DOID:4450|DOID:4451|DOID:4467
SNOMEDCT_US_2025_09_01:255084004,SNOMEDCT_US_2025_09_01,3,DOID:12239|DOID:4284|DOID:5525
SNOMEDCT_US_2025_09_01:266193008,SNOMEDCT_US_2025_09_01,3,DOID:0050508|DOID:8729|DOID:8736
SNOMEDCT_US_2025_09_01:28655007,SNOMEDCT_US_2025_09_01,3,DOID:5690|DOID:5704|DOID:8233
SNOMEDCT_US_2025_09_01:2962009,SNOMEDCT_US_2025_09_01,3,DOID:5477|DOID:5479|DOID:5482
SNOMEDCT_US_2025_09_01:3548001,SNOMEDCT_US_2025_09_01,3,DOID:10383|DOID:3690|DOID:8443
SNOMEDCT_US_2025_09_01:39788007,SNOMEDCT_US_2025_09_01,3,DOID:0060782|DOID:0060783|DOID:0060784
SNOMEDCT_US_2025_09_01:42717009,SNOMEDCT_US_2025_09_01,3,DOID:2660|DOID:5565|DOID:7079
SNOMEDCT_US_2025_09_01:70179006,SNOMEDCT_US_2025_09_01,3,DOID:4896|DOID:4897|DOID:4947
UMLS:C0031898,UMLS,3,DOID:0050133|DOID:12711|DOID:13902
UMLS:C0406704,UMLS,3,DOID:0060782|DOID:0060783|DOID:0060784
GARD:12474,GARD,2,DOID:0080986|DOID:0080987
GARD:48,GARD,2,DOID:0081377|DOID:3762
GARD:5791,GARD,2,DOID:0060945|DOID:2187
GARD:6002,GARD,2,DOID:0050876|DOID:0081394
GARD:625,GARD,2,DOID:0051080|DOID:0110033
GARD:7220,GARD,2,DOID:0050580|DOID:0070212
GARD:7674,GARD,2,DOID:0060160|DOID:12377
GARD:8609,GARD,2,DOID:0050156|DOID:0060941
GARD:9226,GARD,2,DOID:0060611|DOID:14221
GARD:9971,GARD,2,DOID:0080786|DOID:0081433
ICD0:8211/3,ICD0,2,DOID:4929|DOID:6587
ICD0:8260/3,ICD0,2,DOID:3112|DOID:3969
ICD0:8290/0,ICD0,2,DOID:0081306|DOID:5389
ICD0:8290/3,ICD0,2,DOID:6585|DOID:8161
ICD0:8314/3,ICD0,2,DOID:5658|DOID:7076
ICD0:8720/3,ICD0,2,DOID:1909|DOID:6085
ICD0:8901/3,ICD0,2,DOID:3250|DOID:8251
ICD0:9080/3,ICD0,2,DOID:3307|DOID:5563
ICD0:9231/3,ICD0,2,DOID:4549|DOID:5861
ICD0:9362/3,ICD0,2,DOID:1664|DOID:5030
ICD0:9370/3,ICD0,2,DOID:0081417|DOID:3302
ICD0:9392/3,ICD0,2,DOID:0060083|DOID:5889
ICD0:9400/3,ICD0,2,DOID:0081256|DOID:3069
ICD0:9401/3,ICD0,2,DOID:0080876|DOID:0081257
ICD0:9413/0,ICD0,2,DOID:0081305|DOID:2679
ICD0:9430/3,ICD0,2,DOID:0080904|DOID:7305
ICD0:9440/3,ICD0,2,DOID:0080878|DOID:3068
ICD0:9450/3,ICD0,2,DOID:0081281|DOID:3181
ICD0:9471/3,ICD0,2,DOID:0080705|DOID:3873
ICD0:9538/1,ICD0,2,DOID:4210|DOID:8368
ICD0:9680/3,ICD0,2,DOID:0050745|DOID:0081313
ICD0:9699/3,ICD0,2,DOID:0050748|DOID:0050909
ICD0:9749/3,ICD0,2,DOID:0111278|DOID:4329
ICD10:A07.8,ICD10,2,DOID:14397|DOID:9640
ICD10:A18.17,ICD10,2,DOID:0050166|DOID:2148
ICD10:A69.22,ICD10,2,DOID:10554|DOID:1389
ICD10:B20,ICD10,2,DOID:526|DOID:635
ICD10:B35,ICD10,2,DOID:4336|DOID:8913
ICD10:C18.9,ICD10,2,DOID:5672|DOID:9256
ICD10:C22.0,ICD10,2,DOID:3571|DOID:684
ICD10:C22.1,ICD10,2,DOID:4928|DOID:4947
ICD10:C25.4,ICD10,2,DOID:1798|DOID:1799
ICD10:C38.0,ICD10,2,DOID:116|DOID:117
ICD10:C44,ICD10,2,DOID:2095|DOID:4840
ICD10:C49,ICD10,2,DOID:1115|DOID:4045
ICD10:C50,ICD10,2,DOID:1612|DOID:3443
ICD10:C58,ICD10,2,DOID:2021|DOID:3594
ICD10:C71.7,ICD10,2,DOID:4203|DOID:4706
ICD10:C81,ICD10,2,DOID:8567|DOID:8642
ICD10:C85.9,ICD10,2,DOID:0060058|DOID:0060060
ICD10:D18.0,ICD10,2,DOID:255|DOID:483
ICD10:D47.02,ICD10,2,DOID:349|DOID:4660
ICD10:D47.1,ICD10,2,DOID:2226|DOID:4960
ICD10:D61.0,ICD10,2,DOID:0060479|DOID:1342
ICD10:D61.01,ICD10,2,DOID:1339|DOID:1342
ICD10:D65,ICD10,2,DOID:0060538|DOID:11247
ICD10:D68.2,ICD10,2,DOID:2215|DOID:2216
ICD10:D75.0,ICD10,2,DOID:0060652|DOID:10780
ICD10:D81.1,ICD10,2,DOID:0090012|DOID:0090013
ICD10:D82.3,ICD10,2,DOID:0060705|DOID:0060706
ICD10:E03.9,ICD10,2,DOID:11634|DOID:1459
ICD10:E04.9,ICD10,2,DOID:12176|DOID:13195
ICD10:E05.9,ICD10,2,DOID:7997|DOID:7998
ICD10:E06.0,ICD10,2,DOID:14350|DOID:14353
ICD10:E07.1,ICD10,2,DOID:0060744|DOID:12175
ICD10:E13.8,ICD10,2,DOID:0110629|DOID:0110630
ICD10:E23.6,ICD10,2,DOID:0090088|DOID:6676
ICD10:E31.0,ICD10,2,DOID:0090110|DOID:14040
ICD10:E55.0,ICD10,2,DOID:0080883|DOID:10609
ICD10:E70.29,ICD10,2,DOID:14223|DOID:9270
ICD10:E71.3,ICD10,2,DOID:0090031|DOID:0090129
ICD10:E72.19,ICD10,2,DOID:0090142|DOID:0111270
ICD10:E72.538,ICD10,2,DOID:0111671|DOID:0111672
ICD10:E72.59,ICD10,2,DOID:0111626|DOID:0112307
ICD10:E74.4,ICD10,2,DOID:3649|DOID:3651
ICD10:E76.0,ICD10,2,DOID:0060222|DOID:12802
ICD10:E77.1,ICD10,2,DOID:0050461|DOID:14500
ICD10:E78.3,ICD10,2,DOID:0060357|DOID:14118
ICD10:E85.0,ICD10,2,DOID:0090018|DOID:0090029
ICD10:E88.2,ICD10,2,DOID:3153|DOID:3928
ICD10:E88.8,ICD10,2,DOID:0070742|DOID:0070752
ICD10:F01.1,ICD10,2,DOID:0111035|DOID:0111036
ICD10:F33.9,ICD10,2,DOID:1470|DOID:1596
ICD10:F34.1,ICD10,2,DOID:12139|DOID:4964
ICD10:F45.0,ICD10,2,DOID:13918|DOID:4737
ICD10:F48.9,ICD10,2,DOID:10935|DOID:4964
ICD10:F60.3,ICD10,2,DOID:10930|DOID:12401
ICD10:F80.9,ICD10,2,DOID:2033|DOID:93
ICD10:G03,ICD10,2,DOID:12156|DOID:9471
ICD10:G12.1,ICD10,2,DOID:0050529|DOID:0111552
ICD10:G25.5,ICD10,2,DOID:0060810|DOID:12859
ICD10:G40.8,ICD10,2,DOID:0060281|DOID:2538
ICD10:G47.3,ICD10,2,DOID:0050847|DOID:0060731
ICD10:G51.0,ICD10,2,DOID:12506|DOID:13934
ICD10:G54.0,ICD10,2,DOID:3103|DOID:3690
ICD10:G54.5,ICD10,2,DOID:10383|DOID:3689
ICD10:G57.3,ICD10,2,DOID:12527|DOID:6925
ICD10:G60.1,ICD10,2,DOID:0050444|DOID:10582
ICD10:G61.0,ICD10,2,DOID:12842|DOID:12889
ICD10:G61.81,ICD10,2,DOID:2536|DOID:5213
ICD10:G71.09,ICD10,2,DOID:11719|DOID:11720
ICD10:G93.42,ICD10,2,DOID:0080315|DOID:0080316
ICD10:G98,ICD10,2,DOID:0050635|DOID:863
ICD10:H00.01,ICD10,2,DOID:13134|DOID:9909
ICD10:H05.11,ICD10,2,DOID:10499|DOID:9369
ICD10:H16.32,ICD10,2,DOID:0060216|DOID:13353
ICD10:H35.81,ICD10,2,DOID:10175|DOID:6929
ICD10:H43.81,ICD10,2,DOID:11816|DOID:9726
ICD10:H47.1,ICD10,2,DOID:10175|DOID:146
ICD10:H81.0,ICD10,2,DOID:9848|DOID:9849
ICD10:I10,ICD10,2,DOID:10763|DOID:10825
ICD10:I21,ICD10,2,DOID:5844|DOID:9408
ICD10:I26.09,ICD10,2,DOID:8514|DOID:8517
ICD10:I45.6,ICD10,2,DOID:13087|DOID:384
ICD10:J00,ICD10,2,DOID:10459|DOID:10460
ICD10:J32.0,ICD10,2,DOID:10792|DOID:2051
ICD10:J32.1,ICD10,2,DOID:10790|DOID:10791
ICD10:J32.2,ICD10,2,DOID:9312|DOID:9507
ICD10:J32.3,ICD10,2,DOID:10793|DOID:10794
ICD10:J60,ICD10,2,DOID:10324|DOID:10327
ICD10:J69.0,ICD10,2,DOID:0050152|DOID:3240
ICD10:J82.81,ICD10,2,DOID:5870|DOID:9502
ICD10:J84.114,ICD10,2,DOID:2797|DOID:2800
ICD10:K00.0,ICD10,2,DOID:0050591|DOID:13714
ICD10:K02,ICD10,2,DOID:10461|DOID:216
ICD10:K03.3,ICD10,2,DOID:13240|DOID:14529
ICD10:K04.2,ICD10,2,DOID:11189|DOID:5608
ICD10:K04.5,ICD10,2,DOID:11269|DOID:823
ICD10:K11.2,ICD10,2,DOID:10301|DOID:10303
ICD10:K29.6,ICD10,2,DOID:4038|DOID:8757
ICD10:K31.5,ICD10,2,DOID:13687|DOID:3558
ICD10:K44,ICD10,2,DOID:12642|DOID:3827
ICD10:K50.0,ICD10,2,DOID:0060188|DOID:0060191
ICD10:K50.1,ICD10,2,DOID:0060192|DOID:8778
ICD10:K52,ICD10,2,DOID:0060186|DOID:0060187
ICD10:K91.1,ICD10,2,DOID:14495|DOID:8439
ICD10:L23.0,ICD10,2,DOID:0040046|DOID:0040056
ICD10:L40.1,ICD10,2,DOID:0080474|DOID:8503
ICD10:L74.4,ICD10,2,DOID:11155|DOID:11156
ICD10:L82,ICD10,2,DOID:4400|DOID:6498
ICD10:M04.1,ICD10,2,DOID:0050452|DOID:2987
ICD10:M27.8,ICD10,2,DOID:0070648|DOID:203
ICD10:M31.0,ICD10,2,DOID:9808|DOID:9809
ICD10:M72.2,ICD10,2,DOID:8936|DOID:9600
ICD10:M85.2,ICD10,2,DOID:0060756|DOID:0060757
ICD10:M89.4,ICD10,2,DOID:10393|DOID:14283
ICD10:M93.9,ICD10,2,DOID:8125|DOID:84
ICD10:N12,ICD10,2,DOID:1063|DOID:2744
ICD10:N19,ICD10,2,DOID:1074|DOID:4676
ICD10:N21.0,ICD10,2,DOID:11354|DOID:11355
ICD10:N60.0,ICD10,2,DOID:10349|DOID:10350
ICD10:N62,ICD10,2,DOID:10688|DOID:12698
ICD10:N70,ICD10,2,DOID:10972|DOID:5732
ICD10:N80.0,ICD10,2,DOID:288|DOID:361
ICD10:O26.4,ICD10,2,DOID:0040098|DOID:14482
ICD10:P70.2,ICD10,2,DOID:0060334|DOID:11717
ICD10:Q05,ICD10,2,DOID:0060326|DOID:0080016
ICD10:Q07.8,ICD10,2,DOID:0070745|DOID:560
ICD10:Q11.2,ICD10,2,DOID:0111716|DOID:10629
ICD10:Q13.4,ICD10,2,DOID:0060287|DOID:0060673
ICD10:Q20.3,ICD10,2,DOID:0060770|DOID:0060772
ICD10:Q28.3,ICD10,2,DOID:0060670|DOID:0060671
ICD10:Q35.3,ICD10,2,DOID:0110213|DOID:0110214
ICD10:Q60.4,ICD10,2,DOID:0090006|DOID:0111142
ICD10:Q61.5,ICD10,2,DOID:0050576|DOID:12712
ICD10:Q74.0,ICD10,2,DOID:13994|DOID:9827
ICD10:Q77.4,ICD10,2,DOID:0080041|DOID:4480
ICD10:Q77.7,ICD10,2,DOID:0090004|DOID:0090032
ICD10:Q79.2,ICD10,2,DOID:0060321|DOID:0060327
ICD10:Q80.8,ICD10,2,DOID:0060720|DOID:0060871
ICD10:Q81.2,ICD10,2,DOID:0060642|DOID:4959
ICD10:Q81.8,ICD10,2,DOID:0060733|DOID:0060738
ICD10:Q85.0,ICD10,2,DOID:0060403|DOID:8712
ICD10:Q85.89,ICD10,2,DOID:0111563|DOID:3852
ICD10:Q99.8,ICD10,2,DOID:0060427|DOID:0060461
ICD10:Q99.813,ICD10,2,DOID:0050439|DOID:0110829
ICD10:R48.8,ICD10,2,DOID:0060223|DOID:4540
ICD10:R73.03,ICD10,2,DOID:10603|DOID:11716
ICD9:009.2,ICD9,2,DOID:12384|DOID:13250
ICD9:016.6,ICD9,2,DOID:0050166|DOID:2148
ICD9:021.8,ICD9,2,DOID:14239|DOID:2123
ICD9:201,ICD9,2,DOID:8567|DOID:8642
ICD9:205.1,ICD9,2,DOID:0081088|DOID:8552
ICD9:300.81,ICD9,2,DOID:13918|DOID:4737
ICD9:357.81,ICD9,2,DOID:2536|DOID:5213
ICD9:359.2,ICD9,2,DOID:0050759|DOID:450
ICD9:362.83,ICD9,2,DOID:10175|DOID:6929
ICD9:377.0,ICD9,2,DOID:10175|DOID:146
ICD9:396.3,ICD9,2,DOID:11502|DOID:57
ICD9:415,ICD9,2,DOID:8514|DOID:8517
ICD9:478.19,ICD9,2,DOID:0050161|DOID:974
ICD9:516.33,ICD9,2,DOID:2797|DOID:2800
ICD9:520.0,ICD9,2,DOID:0050591|DOID:13714
ICD9:555.1,ICD9,2,DOID:0060192|DOID:8778
ICD9:558,ICD9,2,DOID:0060186|DOID:0060187
ICD9:585.6,ICD9,2,DOID:783|DOID:784
ICD9:709.1,ICD9,2,DOID:0040099|DOID:9540
ICD9:756.72,ICD9,2,DOID:0060321|DOID:0060327
KEGG.DISEASE:05215,KEGG.DISEASE,2,DOID:10283|DOID:10286
KEGG.DISEASE:05321,KEGG.DISEASE,2,DOID:0050589|DOID:9778
MESH:C535289,MESH,2,DOID:0060330|DOID:0090119
MESH:C535934,MESH,2,DOID:0070222|DOID:0070232
MESH:C536141,MESH,2,DOID:0080315|DOID:0080316
MESH:C537743,MESH,2,DOID:0050534|DOID:8498
MESH:C538365,MESH,2,DOID:0110390|DOID:10584
MESH:C563003,MESH,2,DOID:0051060|DOID:9255
MESH:C580473,MESH,2,DOID:0080124|DOID:0080128
MESH:D000070779,MESH,2,DOID:2701|DOID:314
MESH:D000071017,MESH,2,DOID:0060695|DOID:0060696
MESH:D000071243,MESH,2,DOID:0060478|DOID:0080180
MESH:D000074009,MESH,2,DOID:5439|DOID:5445
MESH:D000080203,MESH,2,DOID:2797|DOID:2800
MESH:D000086002,MESH,2,DOID:1790|DOID:7474
MESH:D000099245,MESH,2,DOID:0060321|DOID:0060327
MESH:D000130,MESH,2,DOID:0111158|DOID:4480
MESH:D000381,MESH,2,DOID:0060223|DOID:4540
MESH:D000550,MESH,2,DOID:10375|DOID:10376
MESH:D000647,MESH,2,DOID:10914|DOID:11037
MESH:D000690,MESH,2,DOID:0111246|DOID:332
MESH:D000848,MESH,2,DOID:0050591|DOID:13714
MESH:D001005,MESH,2,DOID:4551|DOID:4908
MESH:D001063,MESH,2,DOID:11239|DOID:11240
MESH:D001650,MESH,2,DOID:4606|DOID:4897
MESH:D001943,MESH,2,DOID:1612|DOID:3459
MESH:D001948,MESH,2,DOID:2636|DOID:4217
MESH:D002062,MESH,2,DOID:14188|DOID:2965
MESH:D002189,MESH,2,DOID:1849|DOID:9505
MESH:D002277,MESH,2,DOID:305|DOID:4015
MESH:D002357,MESH,2,DOID:1222|DOID:2557
MESH:D002430,MESH,2,DOID:1517|DOID:1521
MESH:D002537,MESH,2,DOID:12720|DOID:13097
MESH:D002549,MESH,2,DOID:0060215|DOID:0080122
MESH:D003123,MESH,2,DOID:0070271|DOID:3883
MESH:D003389,MESH,2,DOID:3817|DOID:5656
MESH:D003424,MESH,2,DOID:0060192|DOID:8778
MESH:D003528,MESH,2,DOID:0080202|DOID:4866
MESH:D003557,MESH,2,DOID:1631|DOID:3016
MESH:D003607,MESH,2,DOID:950|DOID:9938
MESH:D003866,MESH,2,DOID:1595|DOID:4964
MESH:D003882,MESH,2,DOID:10223|DOID:14203
MESH:D003969,MESH,2,DOID:5574|DOID:6977
MESH:D004062,MESH,2,DOID:11198|DOID:12583
MESH:D004066,MESH,2,DOID:3118|DOID:77
MESH:D004379,MESH,2,DOID:10021|DOID:1737
MESH:D004403,MESH,2,DOID:12384|DOID:13250
MESH:D004410,MESH,2,DOID:13417|DOID:4428
MESH:D004428,MESH,2,DOID:5101|DOID:833
MESH:D004476,MESH,2,DOID:14693|DOID:2121
MESH:D004604,MESH,2,DOID:0050138|DOID:4976
MESH:D004671,MESH,2,DOID:10842|DOID:646
MESH:D004673,MESH,2,DOID:13664|DOID:639
MESH:D004684,MESH,2,DOID:10992|DOID:5222
MESH:D004832,MESH,2,DOID:0070309|DOID:1825
MESH:D004931,MESH,2,DOID:13186|DOID:9164
MESH:D004948,MESH,2,DOID:10293|DOID:9840
MESH:D005128,MESH,2,DOID:0070356|DOID:5614
MESH:D005155,MESH,2,DOID:14075|DOID:1756
MESH:D005185,MESH,2,DOID:1963|DOID:1964
MESH:D005198,MESH,2,DOID:0070562|DOID:1062
MESH:D005203,MESH,2,DOID:14453|DOID:2708
MESH:D005348,MESH,2,DOID:10354|DOID:5998
MESH:D005729,MESH,2,DOID:2426|DOID:4817
MESH:D005882,MESH,2,DOID:1483|DOID:5337
MESH:D005892,MESH,2,DOID:13924|DOID:9673
MESH:D005902,MESH,2,DOID:1067|DOID:1070
MESH:D005909,MESH,2,DOID:3068|DOID:3074
MESH:D005910,MESH,2,DOID:3070|DOID:5076
MESH:D005918,MESH,2,DOID:2431|DOID:2436
MESH:D006177,MESH,2,DOID:11603|DOID:12698
MESH:D006223,MESH,2,DOID:0050657|DOID:6457
MESH:D006501,MESH,2,DOID:12550|DOID:13413
MESH:D006660,MESH,2,DOID:1731|DOID:1759
MESH:D006929,MESH,2,DOID:12028|DOID:446
MESH:D007007,MESH,2,DOID:11155|DOID:11156
MESH:D007018,MESH,2,DOID:9406|DOID:9476
MESH:D007027,MESH,2,DOID:1931|DOID:6676
MESH:D007414,MESH,2,DOID:10155|DOID:4610
MESH:D007418,MESH,2,DOID:0080072|DOID:8442
MESH:D007516,MESH,2,DOID:1799|DOID:3892
MESH:D007580,MESH,2,DOID:13499|DOID:3218
MESH:D007766,MESH,2,DOID:13757|DOID:1400
MESH:D007822,MESH,2,DOID:2596|DOID:2598
MESH:D007889,MESH,2,DOID:127|DOID:13223
MESH:D007951,MESH,2,DOID:8593|DOID:8692
MESH:D008067,MESH,2,DOID:10192|DOID:3315
MESH:D008072,MESH,2,DOID:0111418|DOID:14118
MESH:D008209,MESH,2,DOID:0070212|DOID:4977
MESH:D008228,MESH,2,DOID:0060060|DOID:8538
MESH:D008268,MESH,2,DOID:10871|DOID:4448
MESH:D008269,MESH,2,DOID:4447|DOID:4449
MESH:D008883,MESH,2,DOID:11153|DOID:1382
MESH:D009221,MESH,2,DOID:13374|DOID:668
MESH:D009379,MESH,2,DOID:461|DOID:5039
MESH:D009443,MESH,2,DOID:1803|DOID:683
MESH:D009477,MESH,2,DOID:0050548|DOID:2491
MESH:D009901,MESH,2,DOID:14555|DOID:1891
MESH:D009958,MESH,2,DOID:0060316|DOID:4501
MESH:D010013,MESH,2,DOID:0110334|DOID:12347
MESH:D010022,MESH,2,DOID:0110938|DOID:13533
MESH:D010190,MESH,2,DOID:1793|DOID:4905
MESH:D010195,MESH,2,DOID:2913|DOID:4989
MESH:D010212,MESH,2,DOID:139|DOID:2615
MESH:D010255,MESH,2,DOID:0050619|DOID:1350
MESH:D010282,MESH,2,DOID:1540|DOID:7608
MESH:D010412,MESH,2,DOID:11615|DOID:11624
MESH:D010490,MESH,2,DOID:11482|DOID:118
MESH:D010520,MESH,2,DOID:1474|DOID:9893
MESH:D010871,MESH,2,DOID:1664|DOID:5032
MESH:D011009,MESH,2,DOID:10316|DOID:12522
MESH:D011015,MESH,2,DOID:0050152|DOID:3240
MESH:D011115,MESH,2,DOID:1389|DOID:14402
MESH:D011502,MESH,2,DOID:11801|DOID:12328
MESH:D011565,MESH,2,DOID:4398|DOID:8893
MESH:D011618,MESH,2,DOID:11328|DOID:5418
MESH:D011629,MESH,2,DOID:0111545|DOID:0112308
MESH:D012004,MESH,2,DOID:1984|DOID:1993
MESH:D012061,MESH,2,DOID:13034|DOID:13035
MESH:D012167,MESH,2,DOID:12514|DOID:7633
MESH:D012173,MESH,2,DOID:10176|DOID:3612
MESH:D012175,MESH,2,DOID:4648|DOID:768
MESH:D012509,MESH,2,DOID:4235|DOID:6193
MESH:D012563,MESH,2,DOID:1229|DOID:778
MESH:D012594,MESH,2,DOID:419|DOID:8472
MESH:D012811,MESH,2,DOID:12192|DOID:1896
MESH:D012872,MESH,2,DOID:2731|DOID:8508
MESH:D012878,MESH,2,DOID:3165|DOID:4159
MESH:D012891,MESH,2,DOID:0050847|DOID:0080302
MESH:D012899,MESH,2,DOID:8736|DOID:9153
MESH:D013001,MESH,2,DOID:13918|DOID:4737
MESH:D013285,MESH,2,DOID:9306|DOID:9837
MESH:D013585,MESH,2,DOID:12225|DOID:2703
MESH:D013724,MESH,2,DOID:3307|DOID:5563
MESH:D013734,MESH,2,DOID:0080775|DOID:4674
MESH:D013945,MESH,2,DOID:3275|DOID:3284
MESH:D013964,MESH,2,DOID:1781|DOID:3963
MESH:D014201,MESH,2,DOID:884|DOID:888
MESH:D014438,MESH,2,DOID:11254|DOID:11256
MESH:D014516,MESH,2,DOID:11819|DOID:11885
MESH:D014523,MESH,2,DOID:730|DOID:734
MESH:D014849,MESH,2,DOID:0110948|DOID:9258
MESH:D014901,MESH,2,DOID:2365|DOID:2366
MESH:D015179,MESH,2,DOID:0080199|DOID:9256
MESH:D015209,MESH,2,DOID:0060643|DOID:14268
MESH:D015417,MESH,2,DOID:13137|DOID:2477
MESH:D015464,MESH,2,DOID:0081088|DOID:8552
MESH:D015616,MESH,2,DOID:4330|DOID:4394
MESH:D016511,MESH,2,DOID:5812|DOID:627
MESH:D016715,MESH,2,DOID:0050657|DOID:13482
MESH:D016889,MESH,2,DOID:1380|DOID:2871
MESH:D017098,MESH,2,DOID:0060025|DOID:11701
MESH:D018219,MESH,2,DOID:4415|DOID:4418
MESH:D018239,MESH,2,DOID:4440|DOID:5842
MESH:D018281,MESH,2,DOID:4928|DOID:4947
MESH:D018302,MESH,2,DOID:6128|DOID:7305
MESH:D018307,MESH,2,DOID:1749|DOID:3168
MESH:D018319,MESH,2,DOID:3512|DOID:5940
MESH:D018856,MESH,2,DOID:13949|DOID:1678
MESH:D019966,MESH,2,DOID:302|DOID:303
MESH:D019970,MESH,2,DOID:809|DOID:9975
MESH:D020277,MESH,2,DOID:2536|DOID:5213
MESH:D020293,MESH,2,DOID:2555|DOID:525
MESH:D020339,MESH,2,DOID:4992|DOID:6576
MESH:D020426,MESH,2,DOID:11446|DOID:12528
MESH:D020427,MESH,2,DOID:4201|DOID:6925
MESH:D020435,MESH,2,DOID:14423|DOID:7558
MESH:D020754,MESH,2,DOID:0050957|DOID:1441
MESH:D020821,MESH,2,DOID:0050835|DOID:543
MESH:D020936,MESH,2,DOID:14264|DOID:14777
MESH:D020968,MESH,2,DOID:10383|DOID:3689
MESH:D034701,MESH,2,DOID:3663|DOID:3665
MESH:D049310,MESH,2,DOID:0111078|DOID:11720
MESH:D050398,MESH,2,DOID:2775|DOID:2776
MESH:D053358,MESH,2,DOID:0111664|DOID:14793
MESH:D054546,MESH,2,DOID:0050765|DOID:0050766
MESH:D055034,MESH,2,DOID:7489|DOID:8125
MESH:D055652,MESH,2,DOID:0111044|DOID:0111049
MESH:D056988,MESH,2,DOID:5845|DOID:5855
MESH:D062625,MESH,2,DOID:5477|DOID:5482
MIM:115210,MIM,2,DOID:0111425|DOID:397
MIM:137400,MIM,2,DOID:11514|DOID:1455
MIM:246900,MIM,2,DOID:0061204|DOID:9269
MIM:258040,MIM,2,DOID:0080173|DOID:0080175
MIM:276900,MIM,2,DOID:0070655|DOID:0110826
MIM:308230,MIM,2,DOID:0060022|DOID:6620
MIM:610256,MIM,2,DOID:0080607|DOID:11367
MIM:613454,MIM,2,DOID:0070657|DOID:1206
MIM:614563,MIM,2,DOID:0061144|DOID:0070043
MIM:616271,MIM,2,DOID:0081134|DOID:0110003
MIM:617169,MIM,2,DOID:0081218|DOID:0112104
NCIT:C120199,NCIT,2,DOID:0080656|DOID:14449
NCIT:C123245,NCIT,2,DOID:0080654|DOID:580
NCIT:C129977,NCIT,2,DOID:0080130|DOID:0080335
NCIT:C156433,NCIT,2,DOID:0111868|DOID:0111873
NCIT:C165527,NCIT,2,DOID:0050440|DOID:0070202
