drugbank_curie,label,unii,unii_ncit
DRUGBANK:DB10417,Periplaneta americana,UNII:2RQ1L9N089,
DRUGBANK:DB10418,Blatella germanica,UNII:G9O67I0A8Q,NCIT:C87504
DRUGBANK:DB10419,Solenopsis invicta,UNII:5O7CR4P444,
DRUGBANK:DB10420,Gallus gallus feather,UNII:1FCM16V0FV,
DRUGBANK:DB10421,Anas platyrhynchos feather,UNII:83B65P4796,
DRUGBANK:DB10422,Anser anser feather,UNII:15XI414745,
DRUGBANK:DB10424,Alternaria alternata,UNII:52B29REC7H,NCIT:C87529
DRUGBANK:DB10425,Aspergillus fumigatus,UNII:X88DF51T48,NCIT:C77182
DRUGBANK:DB10426,Aspergillus niger var. niger,UNII:9IOA40ANG6,
DRUGBANK:DB10427,Aureobasidium pullulans var. pullutans,UNII:D1A2NG69CK,
DRUGBANK:DB10428,Botrytis cinerea,UNII:TBW53313S7,
DRUGBANK:DB10429,Candida albicans,UNII:4D7G21HDBC,NCIT:C77170
DRUGBANK:DB10430,Chaetomium globosum,UNII:5016WB8B8A,
DRUGBANK:DB10431,Cladosporium cladosporioides,UNII:4ZWY20GTGO,
DRUGBANK:DB10432,Cladosporium sphaerospermum,UNII:P87YCA1U8R,
DRUGBANK:DB10433,Cochliobolus sativus,UNII:3LN5B70U4W,
DRUGBANK:DB10434,Epicoccum nigrum,UNII:87U156LEN7,
DRUGBANK:DB10435,Fusarium oxysporum vasinfectum,UNII:6M98DC08TZ,
DRUGBANK:DB10436,Helminthosporium solani,UNII:U6Z259H815,
DRUGBANK:DB10437,Mucor plumbeus,UNII:D7401PWY6E,
DRUGBANK:DB10438,Neurospora intermedia,UNII:2072U60DUI,
DRUGBANK:DB10439,Penicillium chrysogenum var. chrysogenum,UNII:3Y1PE1GCIG,
DRUGBANK:DB10440,Phoma exigua var. exigua,UNII:8JAG41IE4M,
DRUGBANK:DB10441,Rhizopus arrhizus var. arrhizus,UNII:8476849N1Y,
DRUGBANK:DB10442,Rhodotorula rubra,UNII:15W81V867R,NCIT:C87517
DRUGBANK:DB10443,Ustilago maydis,UNII:4K7Z7K7SWG,NCIT:C87523
DRUGBANK:DB10444,Ustilago tritici,UNII:BV82OL2IZ8,NCIT:C87525
DRUGBANK:DB10445,Stemphylium solani,UNII:1IEK4UDP5M,
DRUGBANK:DB10446,Trichophyton mentagrophytes,UNII:199I7J3JIV,
DRUGBANK:DB10447,Saccharomyces cerevisiae,UNII:978D8U419H,NCIT:C14271
DRUGBANK:DB10448,Aspergillus oryzae,UNII:Q6Z8UK5R3G,NCIT:C87507
DRUGBANK:DB10449,Aspergillus repens,UNII:SQ89E6LOME,NCIT:C87509
DRUGBANK:DB10450,Aspergillus terreus,UNII:QBN8K7055X,NCIT:C87511
DRUGBANK:DB10499,Felis catus hair,UNII:1564HD0N96,NCIT:C80294
DRUGBANK:DB10516,Casein,UNII:48268V50D5,NCIT:C73337
DRUGBANK:DB10519,Chicken,UNII:0X8Q245Y7B,NCIT:C14193
DRUGBANK:DB10526,Red king crab,UNII:E88KKF623O,
DRUGBANK:DB10531,Flounder,UNII:F8PTG78KRB,
DRUGBANK:DB10541,Lobster,UNII:6T362S6JF6,
DRUGBANK:DB10544,Cultivated mushroom,UNII:54C8E6W6JY,NCIT:C71949
DRUGBANK:DB10581,Khuskia oryzae,UNII:VK8C112WTS,
DRUGBANK:DB10603,Meriones unguiculatus skin,UNII:9WN2H714TG,
DRUGBANK:DB10604,Capra hircus skin,UNII:JLG9853E2P,
DRUGBANK:DB10605,Mesocricetus auratus skin,UNII:3K873H631W,
DRUGBANK:DB10606,Sus scrofa skin,UNII:3EM4VW6TQN,
DRUGBANK:DB10607,Oryctolagus cuniculus skin,UNII:Z91WAU43WC,
DRUGBANK:DB10608,Rattus norvegicus skin,UNII:Y69HPD48AI,
DRUGBANK:DB10609,Bombyx mori fiber,UNII:6LK42KUV6W,NCIT:C79611
DRUGBANK:DB10614,Common carp,UNII:ZB2SV6JJY5,
DRUGBANK:DB10615,Haddock,UNII:0WLY635722,
DRUGBANK:DB10616,Pacific halibut,UNII:BKZ683617P,
DRUGBANK:DB10621,Atlantic salmon,UNII:7062I37LB3,
DRUGBANK:DB10622,European pilchard,UNII:76780GX08D,
DRUGBANK:DB10688,Musca domestica,UNII:PV7823W303,NCIT:C87500
DRUGBANK:DB10690,Ctenocephalides canis,UNII:LN7IM9RDEA,
DRUGBANK:DB10691,Aedes taeniorhynchus,UNII:BN2DNW66IQ,NCIT:C87499
DRUGBANK:DB10693,Ctenocephalides felis,UNII:5X9Y89ENI9,
DRUGBANK:DB10694,Aspergillus flavus,UNII:3J888Y9L13,NCIT:C77181
DRUGBANK:DB10695,Eurotium herbariorum,UNII:49W168AES4,
DRUGBANK:DB10696,Trichothecium roseum,UNII:TGO054E31O,
DRUGBANK:DB10697,Curvularia inaequalis,UNII:W042YAB8JC,
DRUGBANK:DB10699,Geotrichum candidum,UNII:5964J742O8,
DRUGBANK:DB10700,Phoma glomerata,UNII:UPX000VMIF,
DRUGBANK:DB10701,Rhodotorula mucilaginosa,UNII:62TY3X4N9Z,NCIT:C86027
DRUGBANK:DB10702,Stemphylium sarciniforme,UNII:XQ14H1462M,
DRUGBANK:DB10703,Trichoderma harzianum,UNII:CA33Q4013Q,
DRUGBANK:DB10704,Ustilago avenae,UNII:YIH315U1TU,NCIT:C87521
DRUGBANK:DB10705,Tilletia caries,UNII:C7000B9PQI,NCIT:C87520
DRUGBANK:DB10706,Puccinia graminis,UNII:O0HJ02QBWN,NCIT:C87514
DRUGBANK:DB10769,Japanese encephalitis virus strain sa 14-14-2 antigen (formaldehyde inactivated),UNII:DZ854I04ZE,NCIT:C75796
DRUGBANK:DB10770,Foreskin fibroblast (neonatal),UNII:T34C307W5N,
DRUGBANK:DB10772,Foreskin keratinocyte (neonatal),UNII:ZJO8CP3Q2A,
DRUGBANK:DB10787,Bordetella pertussis toxoid antigen (glutaraldehyde inactivated),UNII:F4TN0IPY37,NCIT:C77701
DRUGBANK:DB10790,Bordetella pertussis fimbriae 2/3 antigen,UNII:1O0600285A,NCIT:C77698
DRUGBANK:DB10795,Poliovirus type 1 antigen (formaldehyde inactivated),UNII:0LVY784C09,NCIT:C80616
DRUGBANK:DB10796,Poliovirus type 2 antigen (formaldehyde inactivated),UNII:23JE9KDF4R,NCIT:C80617
DRUGBANK:DB10797,Poliovirus type 3 antigen (formaldehyde inactivated),UNII:459ROM8M9M,NCIT:C80618
DRUGBANK:DB10798,Neisseria meningitidis group a capsular polysaccharide diphtheria toxoid conjugate antigen,UNII:RE9A0H8OAB,NCIT:C77757
DRUGBANK:DB10800,Neisseria meningitidis group y capsular polysaccharide diphtheria toxoid conjugate antigen,UNII:MI340WV90B,NCIT:C77763
DRUGBANK:DB10801,Neisseria meningitidis group w-135 capsular polysaccharide diphtheria toxoid conjugate antigen,UNII:Z6R9D1D3KJ,NCIT:C77761
DRUGBANK:DB10804,Bacillus calmette-guerin substrain connaught live antigen,UNII:5H5854UBMZ,NCIT:C77694
DRUGBANK:DB10805,Yellow fever vaccine,UNII:PY4EET359T,NCIT:C77800
DRUGBANK:DB10806,Fusarium oxysporum,UNII:5398RXP8KU,
DRUGBANK:DB10807,Candida tropicalis,UNII:Q222J2186W,NCIT:C77177
DRUGBANK:DB10808,Mucor racemosus,UNII:17RH99LQ7G,
DRUGBANK:DB10809,Penicillium camemberti,UNII:T069R9OPVG,
DRUGBANK:DB10810,Penicillium expansum,UNII:1XSC3BB35Z,
DRUGBANK:DB10811,Penicillium italicum,UNII:AZJ5XKM7W3,
DRUGBANK:DB10812,Penicillium roqueforti,UNII:7ORP6R724L,
DRUGBANK:DB10813,Phoma destructiva,UNII:A17SE577FM,
DRUGBANK:DB10814,Rhizopus stolonifer,UNII:FEE198DK4Q,
DRUGBANK:DB10817,Passalora fulva,UNII:HR6H5057CO,
DRUGBANK:DB10818,Cochliobolus spicifer,UNII:91M9RWP3TD,
DRUGBANK:DB10819,Myrothecium verrucaria,UNII:8Z8C642TPL,
DRUGBANK:DB10820,Hypomyces perniciosus,UNII:6K41G30A6U,
DRUGBANK:DB10821,Neurospora crassa,UNII:1X92VM01YP,
DRUGBANK:DB10822,Paecilomyces variotii,UNII:KO7V58BY40,
DRUGBANK:DB10823,Microascus brevicaulis,UNII:DHI513VXU7,
DRUGBANK:DB10824,Colletotrichum coccodes,UNII:Y0M7LGE3Z8,
DRUGBANK:DB10825,Pleospora herbarum,UNII:0N3Z1P4B2W,
DRUGBANK:DB10826,Streptomyces griseus,UNII:G0O5980Z7W,NCIT:C86813
DRUGBANK:DB10827,Trichoderma viride,UNII:T8678F0P0Q,
DRUGBANK:DB10828,Trichophyton schoenleinii,UNII:Z4MD1809H1,
DRUGBANK:DB10834,Ustilago cynodontis,UNII:0V3J4YEX2W,NCIT:C87522
DRUGBANK:DB10835,Ustilago nuda hordei,UNII:9Y53ZS6I82,NCIT:C87524
DRUGBANK:DB10839,Mycocladus corymbiferus,UNII:1M4E76V32I,
DRUGBANK:DB10841,Humicola grisea,UNII:RZ55S3AQOJ,
DRUGBANK:DB10842,Microsporum audouinii,UNII:B7B86Y84R8,
DRUGBANK:DB10843,Microsporum canis,UNII:N4F4RQ7BY7,
DRUGBANK:DB10844,Apiospora montagnei,UNII:49VI1ZSO06,
DRUGBANK:DB10845,Phycomyces blakesleeanus,UNII:41Y752Y34M,
DRUGBANK:DB10846,Sporotrichum pruinosum,UNII:H20KU95UBG,NCIT:C87519
DRUGBANK:DB10847,Stachybotrys chartarum,UNII:HJ4L70T1ZP,
DRUGBANK:DB10848,Syncephalastrum racemosum,UNII:2VWV12V9WR,
DRUGBANK:DB10850,Verticillium albo-atrum,UNII:X92O101CS2,
DRUGBANK:DB10851,White catfish,UNII:UVP9UR815M,
DRUGBANK:DB10855,Opilio crab,UNII:PQD7ZSO3DU,
DRUGBANK:DB10856,Bos taurus hair,UNII:TOQ97Z8644,
DRUGBANK:DB10857,Serinus canaria feather,UNII:9EL3384IQY,
DRUGBANK:DB10861,Atlantic cod,UNII:RPX7J99EXW,
DRUGBANK:DB10865,Cladosporium herbarum,UNII:O64JF11198,
DRUGBANK:DB10866,Acheta domesticus,UNII:P9S201X6LH,
DRUGBANK:DB10867,Canis lupus familiaris hair,UNII:05S7L91ZTR,
DRUGBANK:DB10868,Odocoileus virginianus hair,UNII:C27W02JU62,
DRUGBANK:DB10870,Epidermophyton floccosum,UNII:6JR6JTN25S,
DRUGBANK:DB10873,Sporisorium cruentum,UNII:GQM6LVU5V8,NCIT:C87518
DRUGBANK:DB10874,Goose,UNII:83DC4O5TD3,
DRUGBANK:DB10876,Capra hircus hair,UNII:16M9MK8C4W,
DRUGBANK:DB10877,Cavia porcellus hair,UNII:KBA5Y6X57N,
DRUGBANK:DB10880,Equus caballus hair,UNII:4F35XG0149,
DRUGBANK:DB10881,Sus scrofa hair,UNII:7Q7T9Z7QUW,
DRUGBANK:DB10893,Melopsittacus undulatus feather,UNII:1XY644QKWG,
DRUGBANK:DB10898,Oryctolagus cuniculus hair,UNII:09N62XQ70Y,
DRUGBANK:DB10903,Sitotroga cerealella,UNII:9T28I7BPNO,
DRUGBANK:DB10904,English sole,UNII:00CR8124AS,
DRUGBANK:DB10908,Platanus hybrida pollen,UNII:77X11O684J,NCIT:C85316
DRUGBANK:DB10915,Trichophyton rubrum,UNII:2ZAU32517N,
DRUGBANK:DB10933,Cochliobolus lunatus,UNII:4T82EA86AJ,
DRUGBANK:DB10934,Haematonectria haematococca,UNII:7TLR512M4A,
DRUGBANK:DB10935,Chrysonilia sitophila,UNII:296FK85FY6,
DRUGBANK:DB10937,Puccinia striiformis var. striiformis,UNII:9NLW29GJAX,NCIT:C87515
DRUGBANK:DB10939,Pleospora tarda,UNII:TPL549N9R8,
DRUGBANK:DB10955,Apis mellifera venom,UNII:76013O881M,
DRUGBANK:DB10956,Vespula maculifrons venom protein,UNII:V34908RT03,
DRUGBANK:DB10957,Dolichovespula arenaria venom protein,UNII:7PI26E943G,
DRUGBANK:DB10958,Dolichovespula maculata venom protein,UNII:J8DAZ3T66L,
DRUGBANK:DB10959,Polistes fuscatus venom protein,UNII:AKT0E6058K,
DRUGBANK:DB10966,Sorghum bicolor subsp. drummondii pollen,UNII:B43R30VP73,
DRUGBANK:DB10969,Neurospora sitophila,UNII:I9D9Z5GCW5,
DRUGBANK:DB10970,Trichophyton tonsurans,UNII:JY1BE33I3Y,
DRUGBANK:DB10973,Thermomyces lanuginosus,UNII:YI3WT83KTW,
DRUGBANK:DB10974,Trichosporon cutaneum,UNII:5EUI19VT92,
DRUGBANK:DB10976,Largemouth bass,UNII:XC209ITL3J,
DRUGBANK:DB10979,Blue crab,UNII:8J18RFO4A8,
DRUGBANK:DB10991,"Bordetella pertussis toxoid antigen (formaldehyde, glutaraldehyde inactivated)",UNII:QSN5XO8ZSU,NCIT:C77702
DRUGBANK:DB10992,Bordetella pertussis pertactin antigen (formaldehyde inactivated),UNII:I05O535NV6,NCIT:C77700
DRUGBANK:DB10997,Autologous cultured chondrocytes,UNII:D5P3K3V822,NCIT:C87436
DRUGBANK:DB11018,Canis lupus familiaris dander,UNII:11JCK302I4,
DRUGBANK:DB11019,Cavia porcellus dander,UNII:84Q71TU5SU,
DRUGBANK:DB11020,Bos taurus dander,UNII:C8VYS726O8,
DRUGBANK:DB11021,Equus caballus dander,UNII:J81SZ18495,
DRUGBANK:DB11022,Aspergillus nidulans,UNII:242A53RB80,
DRUGBANK:DB11023,Penicillium digitatum,UNII:1SB49SV239,
DRUGBANK:DB11025,Dendryphiella vinosa,UNII:7S6NW5FH8X,
DRUGBANK:DB11026,Solenopsis richteri,UNII:739684T11W,
DRUGBANK:DB11027,Polistes annularis venom protein,UNII:987GS3GJZX,
DRUGBANK:DB11028,Polistes exclamans venom protein,UNII:L0L5D5D9BQ,
DRUGBANK:DB11029,Polistes metricus venom protein,UNII:ZN217W5Y50,
DRUGBANK:DB11030,Vespula germanica venom protein,UNII:8SH7583MUK,
