drugbank_curie,label,unii,unii_ncit
DRUGBANK:DB14430,Neisseria meningitidis group y capsular oligosaccharide diphtheria crm197 protein conjugate antigen,UNII:2W566Z2PEJ,
DRUGBANK:DB14443,Vibrio cholerae CVD 103-HgR strain live antigen,UNII:V9G528E9E0,
DRUGBANK:DB14564,Kale,UNII:0Y3L4J38H1,
DRUGBANK:DB14613,"Serum, horse",UNII:QHD0E51VON,NCIT:C29772
DRUGBANK:DB14710,Camponotus pennsylvanicus,UNII:9J6GJ0890E,
DRUGBANK:DB14744,Spirulina platensis,UNII:9K7IG15M0Q,
DRUGBANK:DB15274,Pertussis vaccine,UNII:2QNL82089R,NCIT:C76205
DRUGBANK:DB15461,Yersinia pestis 195/p antigen (formaldehyde inactivated),UNII:G10832YT0L,NCIT:C75860
DRUGBANK:DB15511,Gibberella fujikuroi,UNII:815V716OR2,
DRUGBANK:DB15512,Mucor circinelloides f. circinelloides,UNII:48Z8OUT98B,
DRUGBANK:DB15521,Cyd dengue virus serotype 1 live (attenuated) antigen,UNII:75KB2HPX5H,
DRUGBANK:DB15522,Cyd dengue virus serotype 2 live (attenuated) antigen,UNII:FH5SVG7GLC,
DRUGBANK:DB15523,Cyd dengue virus serotype 3 live (attenuated) antigen,UNII:RHT2Q37FYG,
DRUGBANK:DB15524,Cyd dengue virus serotype 4 live (attenuated) antigen,UNII:RS26HP5ND2,
DRUGBANK:DB15525,Mucor circinelloides f. lusitanicus,UNII:0J0X819B3C,
DRUGBANK:DB15526,Eurotium amstelodami,UNII:D932NLL87Z,
DRUGBANK:DB15538,Sea scallop,UNII:BY65V9YV1I,
DRUGBANK:DB15539,Northern brown shrimp,UNII:TJH4LL437H,
DRUGBANK:DB15540,Rainbow trout,UNII:P4M52SZ8L6,
DRUGBANK:DB15541,Yellowfin tuna,UNII:12ZC3K09X7,
DRUGBANK:DB15542,Atlantic mackerel,UNII:HO615U86UJ,
DRUGBANK:DB15543,Pacific ocean perch,UNII:81369ZC3RW,
DRUGBANK:DB15546,Skim milk,UNII:6A001Y4M5A,
DRUGBANK:DB15547,Black sea bass,UNII:0YJW8KYT51,
DRUGBANK:DB15548,Channel catfish,UNII:FIX499R7DR,
DRUGBANK:DB15549,Atlantic halibut,UNII:7E34E106BO,
DRUGBANK:DB15572,Exagamglogene autotemcel,UNII:S53L777GM8,NCIT:C169042
DRUGBANK:DB15605,Field mushroom,UNII:19988ORO24,
DRUGBANK:DB15667,Bacillus amyloliquefaciens,UNII:1M5Y26M37U,
DRUGBANK:DB15680,Neisseria meningitidis group A capsular polysaccharide tetanus toxoid conjugate antigen,UNII:T4GYX3110D,
DRUGBANK:DB15682,Neisseria meningitidis group Y capsular polysaccharide tetanus toxoid conjugate antigen,UNII:4WAN8PQK15,
DRUGBANK:DB15683,Neisseria meningitidis group W-135 capsular polysaccharide tetanus toxoid conjugate antigen,UNII:L77OK410KW,
DRUGBANK:DB15692,COVID-19 convalescent plasma,UNII:YM6LN8TU2V,
DRUGBANK:DB15699,Brexucabtagene autoleucel,UNII:4MD2J2T8SJ,NCIT:C170439
DRUGBANK:DB15721,Natural Killer Cell,UNII:IZR558KO53,NCIT:C178330
DRUGBANK:DB15729,Adipose-Derived Mesenchymal Stem Cells: Autologous or Allogeneic Origins,UNII:3ME9TTI5QB,NCIT:C190749
DRUGBANK:DB15742,MultiStem,UNII:WNR9FH307P,NCIT:C77874
DRUGBANK:DB15744,Allogeneic Cardiosphere-Derived Cells,UNII:ZM7OCV7H6H,NCIT:C220985
DRUGBANK:DB15823,Lactobacillus acidophilus,UNII:1PRR1V42V5,NCIT:C79797
DRUGBANK:DB15840,Pine tar,UNII:YFH4WC535J,
DRUGBANK:DB15850,IMM-101,UNII:IZT740JY57,NCIT:C173535
DRUGBANK:DB15857,Janssen COVID-19 Vaccine,UNII:JT2NS6183B,NCIT:C176055
DRUGBANK:DB15866,CK0802,UNII:H7DFT9JF6M,NCIT:C158084
DRUGBANK:DB15869,Platelet Lysate,UNII:A2WX2UCW6F,
DRUGBANK:DB15871,Human Amniotic Fluid,UNII:6SQ06FQ2GH,
DRUGBANK:DB15879,Polygeline,UNII:CEI2QJ2WAR,NCIT:C174655
DRUGBANK:DB15966,Influenza virus type B,UNII:1314JZ2X6W,NCIT:C53468
DRUGBANK:DB16360,Anti-SARS-CoV-2 immunoglobulin,UNII:VF62JD6WN3,
DRUGBANK:DB16361,Descartes-30,UNII:4P8TSC4FR8,
DRUGBANK:DB16499,INM005,UNII:QJ4WJD8DD3,NCIT:C175231
DRUGBANK:DB16537,Bacillus clausii,UNII:KQ2N4RPK58,
DRUGBANK:DB16538,Bifidobacterium bifidum,UNII:WN5C16297P,
DRUGBANK:DB16539,Escherichia coli,UNII:514B9K0L10,NCIT:C14206
DRUGBANK:DB16540,Lactobacillus delbrueckii bulgaricus,UNII:HU1W4L947H,
DRUGBANK:DB16541,Lactobacillus casei,UNII:SA940P2U00,
DRUGBANK:DB16543,Lactobacillus gasseri,UNII:Q66E0D2443,
DRUGBANK:DB16544,Lactobacillus salivarius,UNII:7A4S6N2EG2,
DRUGBANK:DB16548,Streptococcus thermophilus,UNII:T8F3MOB0CG,
DRUGBANK:DB16549,Bifidobacterium breve,UNII:L07O8T40TE,
DRUGBANK:DB16550,Bifidobacterium animalis lactis,UNII:5307V7XW8I,
DRUGBANK:DB16551,Lactobacillus paracasei,UNII:N1G291SC6Q,
DRUGBANK:DB16556,Spermaceti,UNII:P86KHA8V3K,
DRUGBANK:DB16562,Sepia esculenta bone,UNII:M6XU683549,
DRUGBANK:DB16577,"Japanese encephalitis vaccine (live, attenuated)",UNII:ZZ1CP75F3U,
DRUGBANK:DB16581,Darvadstrocel,UNII:31W7R94KYT,NCIT:C171654
DRUGBANK:DB16582,Lisocabtagene maraleucel,UNII:7K2YOJ14X0,NCIT:C125192
DRUGBANK:DB16591,Ascophyllum nodosum,UNII:168S4EO8YJ,
DRUGBANK:DB16599,Cerebrolysin,UNII:37KZM6S21G,NCIT:C221892
DRUGBANK:DB16603,Escherichia coli strain Nissle 1917,UNII:V2I5FAS6Y5,
DRUGBANK:DB16605,Fucus vesiculosus,UNII:535G2ABX9M,NCIT:C72321
DRUGBANK:DB16611,"Tick-borne encephalitis vaccine (whole virus, inactivated)",UNII:42XD79UQQ6,
DRUGBANK:DB16612,Bee pollen,UNII:3729L8MA2C,NCIT:C87557
DRUGBANK:DB16613,Equine collagen,UNII:3221SCV0LS,
DRUGBANK:DB16615,Krill oil,UNII:V0I3IBX33C,
DRUGBANK:DB16665,Idecabtagene vicleucel,UNII:8PX1X7UG4D,NCIT:C117729
DRUGBANK:DB16710,Streptococcus pneumoniae type 22F capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:U1E9VSB2K2,
DRUGBANK:DB16711,Streptococcus pneumoniae type 33F capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:9WP2BC3I04,
DRUGBANK:DB16713,Streptococcus pneumoniae type 8 capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:ADR2S9OIF2,
DRUGBANK:DB16714,Streptococcus pneumoniae type 10A capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:N47C1SHV0F,
DRUGBANK:DB16715,Streptococcus pneumoniae type 11A capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:RDA5AKV23D,
DRUGBANK:DB16716,Streptococcus pneumoniae type 12F capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:T6O227OX7Q,
DRUGBANK:DB16717,Streptococcus pneumoniae type 15B capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:H8Q6FRO6DY,
DRUGBANK:DB16736,Allogeneic processed thymus tissue,UNII:XD66YK3YY3,
DRUGBANK:DB16738,Ciltacabtagene autoleucel,UNII:0L1F17908Q,NCIT:C148498
DRUGBANK:DB16746,Elivaldogene autotemcel,UNII:KUM75TD6SG,NCIT:C171808
DRUGBANK:DB16900,Betibeglogene autotemcel,UNII:MEE8487RTP,NCIT:C123881
DRUGBANK:DB16960,Lenzumestrocel,UNII:6YY2MY21JA,NCIT:C175108
DRUGBANK:DB17072,Tabelecleucel,UNII:G3NJ7M8N4H,NCIT:C143140
DRUGBANK:DB17098,Virulizin,UNII:E5SF1Z7U1S,NCIT:C26677
DRUGBANK:DB17107,Lifileucel,UNII:R0835E18NH,NCIT:C120552
DRUGBANK:DB17130,Spanlecortemlocel,UNII:D8O38M043D,NCIT:C111571
DRUGBANK:DB17132,Omidubicel,UNII:ET4JC4S66E,NCIT:C127119
DRUGBANK:DB17185,Azercabtagene zapreleucel,UNII:PFZ3AP93TA,NCIT:C158558
DRUGBANK:DB17230,Vadacabtagene leraleucel,UNII:A4O2H9W17Y,NCIT:C133718
DRUGBANK:DB17231,Orvacabtagene autoleucel,UNII:K8RW1TW3EM,NCIT:C147523
DRUGBANK:DB17233,Letetresgene autoleucel,UNII:B5ME4ZU4BS,NCIT:C121379
DRUGBANK:DB17266,Zevorcabtagene autoleucel,UNII:GMV2GFP3G2,NCIT:C165507
DRUGBANK:DB17296,Gebasaxturev,UNII:4B57CWT710,NCIT:C61493
DRUGBANK:DB17324,Listeria monocytogenes,UNII:3O44K14A86,
DRUGBANK:DB17329,Eltrapuldencel-T,UNII:M2LBQ7RN2X,NCIT:C120183
DRUGBANK:DB17362,Obecabtagene autoleucel,UNII:760HJB0YRD,NCIT:C172746
DRUGBANK:DB17367,Gavocabtagene autoleucel,UNII:NP6CFH3G8H,NCIT:C160780
DRUGBANK:DB17402,Belagenpumatucel-L (SK-LU-1),UNII:15D3M1SIYH,
DRUGBANK:DB17412,Gemogenovatucel-T,UNII:27RU78H2H9,NCIT:C90552
DRUGBANK:DB17464,ETBX-011,UNII:RP9RQ0SOM8,NCIT:C91373
DRUGBANK:DB17528,ETBX-021,UNII:S4MK9TOL0D,NCIT:C150517
DRUGBANK:DB17529,ETBX-051,UNII:BPG11IF0HW,NCIT:C143034
DRUGBANK:DB17530,ETBX-061,UNII:17K7SN702N,NCIT:C143035
DRUGBANK:DB17538,Atidarsagene autotemcel,UNII:EPP8G99QG4,NCIT:C180638
DRUGBANK:DB17588,Rocapuldencel-T,UNII:8I9S6401XZ,NCIT:C77907
DRUGBANK:DB17595,RP-L201,UNII:RD86XHH46N,NCIT:C180650
DRUGBANK:DB17606,Rexlemestrocel-L,UNII:4LS0IJZ59V,NCIT:C171655
DRUGBANK:DB17676,Oxabact,UNII:330ZY4KI6F,
DRUGBANK:DB17743,Fecal microbiota,UNII:Q805XO2F7C,
DRUGBANK:DB17753,Bos taurus colostrum immunoglobulins,UNII:EP5SDKM7A0,
DRUGBANK:DB17755,Staphylococcus aureus immune globulin (human),UNII:SX5Y4A7UBI,
DRUGBANK:DB17765,Respigam,UNII:78I1W13C3D,
DRUGBANK:DB17813,Hepatitis C immune globulin (human),UNII:U5V5MUD1KD,NCIT:C105618
DRUGBANK:DB17878,Dabocemagene autoficel,UNII:0S9A4XK1WT,NCIT:C180642
DRUGBANK:DB17879,Bacteroides thetaiotaomicron,UNII:H9HCE7993P,
DRUGBANK:DB17895,Prademagene zamikeracel,UNII:4UU2O40RHU,NCIT:C175196
DRUGBANK:DB17925,Autologous adipose derived mesenchymal stromal cells,UNII:KA0IJR9DZ7,
DRUGBANK:DB17926,Autologous cord blood,UNII:VDX0F5H4FP,
DRUGBANK:DB17955,Palucorcel,UNII:3T0UGR2M5Q,
DRUGBANK:DB17990,PLX-PAD,UNII:DPX6XLD4X1,NCIT:C169942
DRUGBANK:DB18032,Allogenic bone marrow-derived mesenchymal stem cells,UNII:OEN4982XNW,
DRUGBANK:DB18147,Firolimogene autotemcel,UNII:XH2XT2GQS6,NCIT:C184824
DRUGBANK:DB18202,Ilixadencel,UNII:PY29292DVJ,NCIT:C99902
DRUGBANK:DB18311,Taniraleucel,UNII:XO25H8E4QP,NCIT:C173877
DRUGBANK:DB18386,AV-0113,UNII:H2CDQ1PWN7,NCIT:C123928
DRUGBANK:DB18449,Mycobacterium vaccae,UNII:I639ME27W5,
DRUGBANK:DB18530,Bifidobacterium spp.,UNII:IO1WP3918D,
DRUGBANK:DB18532,Lactobacillus brevis,UNII:268IL53Q7O,
DRUGBANK:DB18592,Afamitresgene autoleucel,UNII:CUY18BJ7BP,NCIT:C175738
DRUGBANK:DB18598,INH-A21,UNII:9LKK68BOP0,
DRUGBANK:DB18639,MT-401,UNII:L4D9X59F34,NCIT:C175351
DRUGBANK:DB18640,ALLO-715,UNII:Q137JC2CLV,NCIT:C165779
DRUGBANK:DB18659,Avoplacel,UNII:79NT7I8J0C,NCIT:C171652
DRUGBANK:DB18680,Lovotibeglogene autotemcel,UNII:2C6A9NH2Z8,NCIT:C176855
DRUGBANK:DB18691,Rovaleucel,UNII:TL8FKX4ISW,NCIT:C174916
DRUGBANK:DB18722,Dilanubicel,UNII:FR89SC8CT4,NCIT:C146992
DRUGBANK:DB18764,Zamtocabtagene autoleucel,UNII:NT3BAN5MDV,NCIT:C180596
DRUGBANK:DB18906,MG-4101,UNII:WX2ZW10GHO,NCIT:C94209
DRUGBANK:DB18979,Relmacabtagene autoleucel,UNII:K5CXA4X5U8,NCIT:C155878
DRUGBANK:DB19059,Iltamiocel,UNII:QTA2A5N6BE,NCIT:C177094
DRUGBANK:DB19089,Propionibacterium acnes,UNII:TRZ1AA965O,NCIT:C14378
DRUGBANK:DB19093,Lactobacillus crispatus strain CTV-05,UNII:RP8X0ZB061,
DRUGBANK:DB19103,Simoladagene autotemcel,UNII:MOD3RG31RS,NCIT:C171810
DRUGBANK:DB19107,Rivogenlecleucel,UNII:E6349B696W,NCIT:C105395
DRUGBANK:DB19117,Lapuleucel-t,UNII:J5Z87L8ROA,NCIT:C2057
DRUGBANK:DB19145,Baltaleucel-T,UNII:F9670LP52I,NCIT:C129374
DRUGBANK:DB19154,Mocemestrocel,UNII:8HM51ZKE1F,NCIT:C175146
DRUGBANK:DB19155,Nalotimagene carmaleucel,UNII:2SS05WO6EV,NCIT:C175827
DRUGBANK:DB19188,Cenplacel-L,UNII:OOH12XV6XR,NCIT:C171653
DRUGBANK:DB19219,Autologous ex vivo expanded cd4+-enriched leukocytes treated with the de-methylating agent 5-aza-deoxycytidine,UNII:B2NUS89036,NCIT:C112495
DRUGBANK:DB19245,Bacillus cereus,UNII:7YC151N82L,NCIT:C86161
DRUGBANK:DB19246,Bacillus coagulans,UNII:ISK1LOY57E,NCIT:C86939
DRUGBANK:DB19247,Bacillus licheniformis,UNII:WAN07H3BQL,
DRUGBANK:DB19248,Bifidobacterium longum,UNII:831AQW699W,
DRUGBANK:DB19249,Bos taurus colostrum,UNII:S256WJ3OFQ,
DRUGBANK:DB19252,Ecklonia cava,UNII:UXX2N5V39P,
DRUGBANK:DB19262,Grifola frondosa whole,UNII:A1U5YJI0Z8,
DRUGBANK:DB19268,Romyelocel-L,UNII:BEX65U1K6I,NCIT:C82381
DRUGBANK:DB19272,Taiwanofungus camphoratus fruiting body,UNII:3796H63LII,NCIT:C129711
DRUGBANK:DB19274,Streptococcus salivarius,UNII:NN52U3ZACZ,NCIT:C86804
DRUGBANK:DB19275,Stapuldencel,UNII:RB8MSD888P,NCIT:C115106
DRUGBANK:DB19282,Lacticaseibacillus rhamnosus,UNII:9601IVB87J,
DRUGBANK:DB19284,Pseudomonas aeruginosa,UNII:Y793W5V55N,NCIT:C86696
DRUGBANK:DB19286,Human colostrum,UNII:VB6F65I6F5,NCIT:C32348
DRUGBANK:DB19288,Ophiocordyceps sinensis,UNII:8Q1GYP08KU,
DRUGBANK:DB19289,Xanthium sibiricum fruit,UNII:3H333L84C2,
DRUGBANK:DB19294,Japanese Encephalitis Virus Vaccine Inactivated,UNII:2V2JJ0S00T,NCIT:C75797
DRUGBANK:DB19295,Platelet Rich Plasma,UNII:ZW1U5HYZ1A,NCIT:C177738
DRUGBANK:DB19297,Human placenta hydrolysate,UNII:24L835P10X,NCIT:C90806
DRUGBANK:DB19342,Streptococcus pneumoniae type 9N capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:XI7GQF2NHD,
