drugbank_curie,label,biolink_type,unii,ncit,signal
DRUGBANK:DB14313,Lawsonia inermis leaf,biolink:ComplexMolecularMixture,E5818YZ355,NCIT:C72518,allergen-text
DRUGBANK:DB15542,Atlantic mackerel,biolink:ComplexMolecularMixture,HO615U86UJ,,allergen-text
DRUGBANK:DB19080,Freneslerbart,biolink:ComplexMolecularMixture,AL6PH7LX2Y,NCIT:C190340,allergen-text
DRUGBANK:DB19416,Mevonlerbart,biolink:ComplexMolecularMixture,SN982PAN4O,NCIT:C190485,allergen-text
DRUGBANK:DB19417,Bremzalerbart,biolink:ComplexMolecularMixture,F8SN45N8HN,NCIT:C190442,allergen-text
DRUGBANK:DB19418,Atisnolerbart,biolink:ComplexMolecularMixture,4S1L0R6IJG,NCIT:C190335,allergen-text
DRUGBANK:DB00638,Inulin,biolink:Food,JOS53KRJ01,NCIT:C61506,ncit-food
DRUGBANK:DB09341,"Dextrose, unspecified form",biolink:Food,IY9XDZ35W2,NCIT:C2831,ncit-food
DRUGBANK:DB09344,Invert sugar,biolink:Food,ED959S6ACY,NCIT:C73853,ncit-food
DRUGBANK:DB09422,Soybean oil,biolink:Food,241ATL177A,NCIT:C838,ncit-food
DRUGBANK:DB09446,Safflower oil,biolink:Food,65UEH262IS,NCIT:C820,ncit-food
DRUGBANK:DB09567,Olive oil,biolink:Food,6UYK2W1W1E,NCIT:C1175,ncit-food
DRUGBANK:DB10344,Ginger,biolink:Food,C5529G5JPQ,NCIT:C66725,ncit-food
DRUGBANK:DB10408,Cotton seed,biolink:Food,DI0ZRJ0MXN,NCIT:C73881,ncit-food
DRUGBANK:DB10500,Almond,biolink:Food,3Z252A2K9G,NCIT:C74458,ncit-food
DRUGBANK:DB10501,Apple,biolink:Food,B423VGH5S9,NCIT:C71985,ncit-food
DRUGBANK:DB10502,Apricot,biolink:Food,269CJD5GZ9,NCIT:C71986,ncit-food
DRUGBANK:DB10503,Asparagus,biolink:Food,Z1EJP3037Z,NCIT:C71987,ncit-food
DRUGBANK:DB10505,Banana,biolink:Food,4AJZ4765R9,NCIT:C71989,ncit-food
DRUGBANK:DB10506,Barley,biolink:Food,5PWM7YLI7R,NCIT:C73935,ncit-food
DRUGBANK:DB10508,String bean,biolink:Food,N9D69B2Q7Y,NCIT:C71951,ncit-food
DRUGBANK:DB10509,Beef,biolink:Food,4PIB2155QP,NCIT:C71932,ncit-food
DRUGBANK:DB10510,Brazil nut,biolink:Food,XKR79OET1K,NCIT:C72048,ncit-food
DRUGBANK:DB10511,Broccoli,biolink:Food,UOI4FT57BZ,NCIT:C71997,ncit-food
DRUGBANK:DB10512,Buckwheat,biolink:Food,N0Y68724R3,NCIT:C73936,ncit-food
DRUGBANK:DB10513,Cabbage,biolink:Food,GW0W1Y9I97,NCIT:C71999,ncit-food
DRUGBANK:DB10514,Cantaloupe,biolink:Food,8QF5D5H6UH,NCIT:C72057,ncit-food
DRUGBANK:DB10515,Carrot,biolink:Food,L56Z1JK48B,NCIT:C72000,ncit-food
DRUGBANK:DB10517,Celery,biolink:Food,44IDY6DTKX,NCIT:C71994,ncit-food
DRUGBANK:DB10518,Cherry,biolink:Food,BUC5I9595W,NCIT:C65311,ncit-food
DRUGBANK:DB10523,Coconut,biolink:Food,3RT3536DHY,NCIT:C71966,ncit-food
DRUGBANK:DB10525,Coffee bean,biolink:Food,JFH385Y744,NCIT:C73875,ncit-food
DRUGBANK:DB10527,Cucumber,biolink:Food,YY7C30VXJT,NCIT:C71968,ncit-food
DRUGBANK:DB10528,Egg white,biolink:Food,3E0I92Z2GR,NCIT:C71956,ncit-food
DRUGBANK:DB10529,Egg,biolink:Food,291P45F896,NCIT:C72064,ncit-food
DRUGBANK:DB10530,Egg yolk,biolink:Food,4IPS17B70T,NCIT:C71955,ncit-food
