pipeline	subject	subject_label	predicate	object	object_label	asserted_by	status
disease	DOID:14670	hypertelorism, microtia, facial clefting syndrome	xref	GARD:897	Hypertelorism, microtia, facial clefting syndrome	DOID	from_other_source
disease	DOID:14671	multiple intestinal atresia	xref	GARD:3013	Multiple gastrointestinal atresias	DOID	from_other_source
disease	DOID:14679	VACTERL association	xref	GARD:5443	VATER association	DOID	from_other_source
disease	DOID:14681	Silver-Russell syndrome	xref	GARD:4870	Russell-Silver syndrome	DOID	from_other_source
disease	DOID:14683	Binder syndrome	xref	GARD:6992	Binder syndrome	DOID	from_other_source
disease	DOID:14686	Axenfeld-Rieger syndrome	xref	GARD:5701	Axenfeld-Rieger syndrome	DOID	from_other_source
disease	DOID:14687	diastrophic dysplasia	xref	GARD:6275	Diastrophic dysplasia	DOID	from_other_source
disease	DOID:14692	Smith-Lemli-Opitz syndrome	xref	GARD:5683	Smith-Lemli-Opitz syndrome	DOID	from_other_source
disease	DOID:14693	Clouston syndrome	xref	GARD:2056	Hidrotic ectodermal dysplasia syndrome	DOID	from_other_source
disease	DOID:14694	Johanson-Blizzard syndrome	xref	GARD:80	Johanson-Blizzard syndrome	DOID	from_other_source
disease	DOID:14695	galactokinase deficiency	xref	GARD:2422	Deficiency of galactokinase	DOID	from_other_source
disease	DOID:14701	propionic acidemia	xref	GARD:467	Propionic acidemia	DOID	from_other_source
disease	DOID:14702	branchiootorenal syndrome	xref	GARD:10147	Melnick-Fraser syndrome	DOID	from_other_source
disease	DOID:14705	Pfeiffer syndrome	xref	GARD:7380	Pfeiffer syndrome	DOID	from_other_source
disease	DOID:14711	FG syndrome	xref	GARD:2317	FG syndrome 1	DOID	from_other_source
disease	DOID:14717	centronuclear myopathy	xref	GARD:101	Centronuclear myopathy	DOID	from_other_source
disease	DOID:14723	beta-ketothiolase deficiency	xref	GARD:872	Deficiency of acetyl-CoA acetyltransferase	DOID	from_other_source
disease	DOID:14731	Weaver syndrome	xref	GARD:5545	Weaver-Williams syndrome	DOID	from_other_source
disease	DOID:14731	Weaver syndrome	xref	GARD:7878	Weaver syndrome	DOID	from_other_source
disease	DOID:14735	hereditary angioedema	xref	GARD:5979	Hereditary angioneurotic edema	DOID	from_other_source
disease	DOID:14737	craniofrontonasal syndrome	xref	GARD:1578	Craniofrontonasal syndrome	DOID	from_other_source
disease	DOID:14744	Partington syndrome	xref	GARD:4235	Partington syndrome	DOID	from_other_source
disease	DOID:14748	Sotos syndrome	xref	GARD:10091	Sotos syndrome	DOID	from_other_source
disease	DOID:14749	methylmalonic acidemia	xref	GARD:7033	Methylmalonic acidemia	DOID	from_other_source
disease	DOID:14753	isovaleric acidemia	xref	GARD:465	Isovaleryl-CoA dehydrogenase deficiency	DOID	from_other_source
disease	DOID:14755	argininosuccinic aciduria	xref	GARD:5843	Argininosuccinate lyase deficiency	DOID	from_other_source
disease	DOID:14756	vascular type Ehlers-Danlos syndrome	xref	GARD:2082	Ehlers-Danlos syndrome, type 4	DOID	from_other_source
disease	DOID:14757	Ehlers-Danlos syndrome hypermobility type	xref	GARD:2081	Ehlers-Danlos syndrome, type 3	DOID	from_other_source
disease	DOID:14761	Greig cephalopolysyndactyly syndrome	xref	GARD:6550	Greig cephalopolysyndactyly syndrome	DOID	from_other_source
disease	DOID:14764	Larsen syndrome	xref	GARD:6860	Larsen syndrome	DOID	from_other_source
disease	DOID:14766	renal agenesis	xref	GARD:9228	Renal agenesis	DOID	from_other_source
disease	DOID:14768	Saethre-Chotzen syndrome	xref	GARD:7598	Saethre-Chotzen syndrome	DOID	from_other_source
disease	DOID:14775	brittle cornea syndrome 1	xref	GARD:1019	Brittle cornea syndrome	DOID	from_other_source
disease	DOID:14780	KBG syndrome	xref	GARD:82	KBG syndrome	DOID	from_other_source
disease	DOID:14789	spondyloepiphyseal dysplasia congenita	xref	GARD:4987	Spondyloepiphyseal dysplasia congenita	DOID	from_other_source
disease	DOID:14791	Leber congenital amaurosis	xref	GARD:634	Leber congenital amaurosis	DOID	from_other_source
disease	DOID:14793	hypohidrotic ectodermal dysplasia	xref	GARD:76	Hypohidrotic ectodermal dysplasia	DOID	from_other_source
disease	DOID:14796	Dubowitz syndrome	xref	GARD:6290	Dubowitz syndrome	DOID	from_other_source
disease	DOID:14798	Blount's disease	xref	GARD:916	Tibia vara	DOID	from_other_source
disease	DOID:1485	cystic fibrosis	xref	GARD:6233	Cystic fibrosis	DOID	from_other_source
disease	DOID:1498	cholera	xref	GARD:6043	Cholera	DOID	from_other_source
disease	DOID:1540	parathyroid carcinoma	xref	GARD:7329	Parathyroid carcinoma	DOID	from_other_source
disease	DOID:1554	vibratory urticaria	xref	GARD:9806	Autosomal dominant vibratory urticaria	DOID	from_other_source
disease	DOID:1562	chromoblastomycosis	xref	GARD:1319	Chromomycosis	DOID	from_other_source
disease	DOID:1586	rheumatic fever	xref	GARD:5699	Rheumatic fever	DOID	from_other_source
