pipeline,preferred_id,preferred_label,biolink_type,member_count,equivalent_ids,preferred_id_would_survive,needs_biolink_registration,unsupported_prefixes
disease,GARD:10151,Aicardi-Goutieres syndrome 5,biolink:Disease,1,GARD:10151,false,true,GARD
disease,GARD:10156,Congenital chylothorax,biolink:Disease,1,GARD:10156,false,true,GARD
disease,GARD:10161,Onychotrichodysplasia and neutropenia,biolink:Disease,1,GARD:10161,false,true,GARD
disease,GARD:10163,Curly hair - acral keratoderma - caries syndrome,biolink:Disease,1,GARD:10163,false,true,GARD
disease,GARD:10168,Joubert syndrome with ocular defect,biolink:Disease,1,GARD:10168,false,true,GARD
disease,GARD:10173,Florid cemento-osseous dysplasia,biolink:Disease,1,GARD:10173,false,true,GARD
disease,GARD:10177,Mirizzi syndrome,biolink:Disease,1,GARD:10177,false,true,GARD
disease,GARD:10184,Cryohydrocytosis,biolink:Disease,1,GARD:10184,false,true,GARD
disease,GARD:10186,Bladder urachal adenocarcinoma,biolink:Disease,1,GARD:10186,false,true,GARD
disease,GARD:10188,"Angioma serpiginosum, X-linked",biolink:Disease,1,GARD:10188,false,true,GARD
disease,GARD:10189,"Angioma serpiginosum, autosomal dominant",biolink:Disease,1,GARD:10189,false,true,GARD
disease,GARD:10190,Isolated focal cortical dysplasia type II,biolink:Disease,1,GARD:10190,false,true,GARD
disease,GARD:10193,Subcutaneous panniculitis-like T-cell lymphoma,biolink:Disease,1,GARD:10193,false,true,GARD
disease,GARD:10195,"Parasomnia, sleep bruxism type",biolink:Disease,1,GARD:10195,false,true,GARD
disease,GARD:10198,Immunoglobulin A deficiency 2,biolink:Disease,1,GARD:10198,false,true,GARD
disease,GARD:10199,Optic atrophy 2,biolink:Disease,1,GARD:10199,false,true,GARD
disease,GARD:102,Neu-Laxova syndrome,biolink:Disease,1,GARD:102,false,true,GARD
disease,GARD:10200,Optic atrophy 6,biolink:Disease,1,GARD:10200,false,true,GARD
disease,GARD:10201,Optic atrophy 5,biolink:Disease,1,GARD:10201,false,true,GARD
disease,GARD:10202,Chromosome 2q37 deletion syndrome,biolink:Disease,1,GARD:10202,false,true,GARD
disease,GARD:10213,Blepharophimosis-ptosis-epicanthus inversus syndrome type 2,biolink:Disease,1,GARD:10213,false,true,GARD
disease,GARD:10215,Citrullinemia type II,biolink:Disease,1,GARD:10215,false,true,GARD
disease,GARD:10216,NDE1-related microhydranencephaly,biolink:Disease,1,GARD:10216,false,true,GARD
disease,GARD:10220,Spondyloepiphyseal dysplasia with metatarsal shortening,biolink:Disease,1,GARD:10220,false,true,GARD
disease,GARD:10221,Renal cysts and diabetes syndrome,biolink:Disease,1,GARD:10221,false,true,GARD
disease,GARD:10223,Deficiency of isobutyryl-CoA dehydrogenase,biolink:Disease,1,GARD:10223,false,true,GARD
disease,GARD:10224,Zygomycosis,biolink:Disease,1,GARD:10224,false,true,GARD
disease,GARD:10225,Multiple endocrine neoplasia type 2B,biolink:Disease,1,GARD:10225,false,true,GARD
disease,GARD:10227,Cataract 31 multiple types,biolink:Disease,1,GARD:10227,false,true,GARD
disease,GARD:10228,Cataract 11 multiple types,biolink:Disease,1,GARD:10228,false,true,GARD
disease,GARD:10230,"Emery-Dreifuss muscular dystrophy 2, autosomal dominant",biolink:Disease,1,GARD:10230,false,true,GARD
disease,GARD:10234,Cataract 6 multiple types,biolink:Disease,1,GARD:10234,false,true,GARD
disease,GARD:10236,Cataract 32,biolink:Disease,1,GARD:10236,false,true,GARD
disease,GARD:10237,Biotin-responsive basal ganglia disease,biolink:Disease,1,GARD:10237,false,true,GARD
disease,GARD:10239,H syndrome,biolink:Disease,1,GARD:10239,false,true,GARD
disease,GARD:10241,Diamond-Blackfan anemia 3,biolink:Disease,1,GARD:10241,false,true,GARD
disease,GARD:10244,"Lipase deficiency, combined",biolink:Disease,1,GARD:10244,false,true,GARD
disease,GARD:1025,Bronchogenic cyst,biolink:Disease,1,GARD:1025,false,true,GARD
disease,GARD:10263,Hydatidiform mole,biolink:Disease,1,GARD:10263,false,true,GARD
disease,GARD:10265,Pityriasis lichenoides,biolink:Disease,1,GARD:10265,false,true,GARD
