gene_id,symbol,tax_id,dropped_synonym,shredded_from,raw_synonyms_field
842864,ECI1,3702,delta(2)-enoyl CoA isomerase 1,"delta(3), delta(2)-enoyl CoA isomerase 1",''delta(3)|ARABIDOPSIS THALIANA DELTA(3)|ATECI1|DELTA(2)-ENOYL COA ISOMERASE 1|ECHIC|ENOYL-COA HYDRATASE/ISOMERASE C|F5I14.5|F5I14_5|PEC11|delta(2)-enoyl CoA isomerase 1|delta(2)-enoyl CoA isomerase 1''|delta(3)
842864,ECI1,3702,delta(3),"delta(3), delta(2)-enoyl CoA isomerase 1",''delta(3)|ARABIDOPSIS THALIANA DELTA(3)|ATECI1|DELTA(2)-ENOYL COA ISOMERASE 1|ECHIC|ENOYL-COA HYDRATASE/ISOMERASE C|F5I14.5|F5I14_5|PEC11|delta(2)-enoyl CoA isomerase 1|delta(2)-enoyl CoA isomerase 1''|delta(3)
842878,CYP702A1,3702,cytochrome P450,"cytochrome P450, family 702, subfamily A, polypeptide 1",''cytochrome P450|F1E22.5|cytochrome P450|family 702|polypeptide 1|polypeptide 1''|subfamily A
842878,CYP702A1,3702,family 702,"cytochrome P450, family 702, subfamily A, polypeptide 1",''cytochrome P450|F1E22.5|cytochrome P450|family 702|polypeptide 1|polypeptide 1''|subfamily A
842878,CYP702A1,3702,polypeptide 1,"cytochrome P450, family 702, subfamily A, polypeptide 1",''cytochrome P450|F1E22.5|cytochrome P450|family 702|polypeptide 1|polypeptide 1''|subfamily A
842878,CYP702A1,3702,subfamily A,"cytochrome P450, family 702, subfamily A, polypeptide 1",''cytochrome P450|F1E22.5|cytochrome P450|family 702|polypeptide 1|polypeptide 1''|subfamily A
842916,CYP96A14P,3702,cytochrome P450,"cytochrome P450, family 96, subfamily A, polypeptide 14 pseudogene",''cytochrome P450|F15E12.16|F15E12_16|cytochrome P450|family 96|polypeptide 14 pseudogene|polypeptide 14 pseudogene''|subfamily A
842916,CYP96A14P,3702,family 96,"cytochrome P450, family 96, subfamily A, polypeptide 14 pseudogene",''cytochrome P450|F15E12.16|F15E12_16|cytochrome P450|family 96|polypeptide 14 pseudogene|polypeptide 14 pseudogene''|subfamily A
842916,CYP96A14P,3702,polypeptide 14 pseudogene,"cytochrome P450, family 96, subfamily A, polypeptide 14 pseudogene",''cytochrome P450|F15E12.16|F15E12_16|cytochrome P450|family 96|polypeptide 14 pseudogene|polypeptide 14 pseudogene''|subfamily A
842916,CYP96A14P,3702,subfamily A,"cytochrome P450, family 96, subfamily A, polypeptide 14 pseudogene",''cytochrome P450|F15E12.16|F15E12_16|cytochrome P450|family 96|polypeptide 14 pseudogene|polypeptide 14 pseudogene''|subfamily A
842931,CMPG1,3702,CYS,"CYS, MET, PRO, and GLY protein 1",''CYS|ATCMPG1|CYS|F15E12.6|F15E12_6|MET|PRO|and GLY protein 1|and GLY protein 1''
842931,CMPG1,3702,MET,"CYS, MET, PRO, and GLY protein 1",''CYS|ATCMPG1|CYS|F15E12.6|F15E12_6|MET|PRO|and GLY protein 1|and GLY protein 1''
842931,CMPG1,3702,PRO,"CYS, MET, PRO, and GLY protein 1",''CYS|ATCMPG1|CYS|F15E12.6|F15E12_6|MET|PRO|and GLY protein 1|and GLY protein 1''
842931,CMPG1,3702,and GLY protein 1,"CYS, MET, PRO, and GLY protein 1",''CYS|ATCMPG1|CYS|F15E12.6|F15E12_6|MET|PRO|and GLY protein 1|and GLY protein 1''
843133,FKF1,3702,f box 1,"flavin-binding, kelch repeat, f box 1",''flavin-binding|ADO3|T23K23.10|T23K23_10|f box 1|f box 1''|flavin-binding|kelch repeat
843133,FKF1,3702,flavin-binding,"flavin-binding, kelch repeat, f box 1",''flavin-binding|ADO3|T23K23.10|T23K23_10|f box 1|f box 1''|flavin-binding|kelch repeat
843133,FKF1,3702,kelch repeat,"flavin-binding, kelch repeat, f box 1",''flavin-binding|ADO3|T23K23.10|T23K23_10|f box 1|f box 1''|flavin-binding|kelch repeat
