pipeline	subject	subject_label	predicate	object	object_label	asserted_by	status
disease	MP:0001005	abnormal retina rod cell morphology	xref	CL:0000604		MP	added
disease	MP:0001006	abnormal retina cone cell morphology	xref	CL:0000573		MP	added
disease	MP:0001035	abnormal submandibular ganglion morphology	xref	MA:0002470		MP	added
disease	MP:0001158	abnormal prostate gland morphology	xref	MA:0000404		MP	added
disease	MP:0001163	abnormal prostate gland anterior lobe morphology	xref	MA:0002422		MP	added
disease	MP:0001168	abnormal prostate gland epithelium morphology	xref	MA:0001737		MP	added
disease	MP:0001181	absent lungs	xref	Fyler:4206		MP	added
disease	MP:0001224	abnormal keratinocyte apoptosis	xref	GO:0006915		MP	added
disease	MP:0001224	abnormal keratinocyte apoptosis	xref	GO:0030216		MP	added
disease	MP:0001253	abnormal body height	xref	GO:0040007		MP	added
disease	MP:0001253	abnormal body height	xref	GO:0040014		MP	added
disease	MP:0001264	increased body size	xref	GO:0040007		MP	added
disease	MP:0001264	increased body size	xref	GO:0040014		MP	added
disease	MP:0001265	decreased body size	xref	GO:0040007		MP	added
disease	MP:0001265	decreased body size	xref	GO:0040014		MP	added
disease	MP:0001286	abnormal eye development	xref	GO:0001654		MP	added
disease	MP:0001293	anophthalmia	xref	Fyler:4864		MP	added
disease	MP:0001297	microphthalmia	xref	Fyler:4877		MP	added
disease	MP:0001304	cataract	xref	Fyler:4865		MP	added
disease	MP:0001544	abnormal cardiovascular system physiology	xref	MGI:2173590		MP	added
disease	MP:0001648	abnormal apoptosis	xref	GO:0006915		MP	added
disease	MP:0001663	abnormal digestive system physiology	xref	MGI:2173602		MP	added
disease	MP:0001672	abnormal embryo development	xref	GO:0007275		MP	added
disease	MP:0001675	abnormal ectoderm development	xref	GO:0001705		MP	added
disease	MP:0001680	abnormal mesoderm development	xref	GO:0001707		MP	added
disease	MP:0001683	absent mesoderm	xref	GO:0001707		MP	added
disease	MP:0001685	abnormal endoderm development	xref	GO:0001706		MP	added
disease	MP:0001693	failure of primitive streak formation	xref	GO:0007369		MP	added
disease	MP:0001695	abnormal gastrulation	xref	GO:0007669		MP	added
disease	MP:0001696	failure to gastrulate	xref	GO:0007669		MP	added
disease	MP:0001700	abnormal embryo turning	xref	GO:0007669		MP	added
disease	MP:0001701	incomplete embryo turning	xref	GO:0007669		MP	added
disease	MP:0001756	abnormal urination	xref	GO:0060073		MP	added
disease	MP:0001790	abnormal immune system physiology	xref	GO:0006955		MP	added
disease	MP:0001890	anencephaly	xref	Fyler:4332		MP	added
disease	MP:0001943	abnormal respiration	xref	Fyler:4200		MP	added
disease	MP:0001948	vesicoureteral reflux	xref	Fyler:4510		MP	added
disease	MP:0001963	abnormal hearing physiology	xref	GO:0007605		MP	added
