Compendium Filenames,Mapping Source,Number of Mappings
"ChemicalEntity.txt
ChemicalMixture.txt
ComplexMolecularMixture.txt
Drug.txt
Food.txt
MolecularMixture.txt
Polypeptide.txt
SmallMolecule.txt",build_drugcentral_relations(),"35,361 cross-references involving 39,172 distinct CURIEs from Build xrefs from DrugCentral (babel_downloads/DrugCentral/xrefs) to DrugCentral using the prefix map {'CHEBI': 'CHEBI', 'ChEMBL_ID': 'CHEMBL.COMPOUND', 'DRUGBANK_ID': 'DRUGBANK', 'IUPHAR_LIGAND_ID': 'GTOPDB', 'MESH_DESCRIPTOR_UI': 'MESH', 'PUBCHEM_CID': 'PUBCHEM.COMPOUND', 'UMLSCUI': 'UMLS', 'UNII': 'UNII'}.
 - CHEMBL.COMPOUND, DrugCentral: 7,129
 - DrugCentral, UMLS: 5,244
 - DrugCentral, UNII: 5,185
 - DrugCentral, PUBCHEM.COMPOUND: 5,013
 - DRUGBANK, DrugCentral: 4,368
 - 3 other prefix pairs: 8,422"
"ChemicalEntity.txt
ChemicalMixture.txt
ComplexMolecularMixture.txt
Drug.txt
Food.txt
MolecularMixture.txt
Polypeptide.txt
SmallMolecule.txt",get_mesh_relationships(),"17,401 cross-references involving 34,544 distinct CURIEs from get_mesh_relationships() iterates through the MeSH registry, filters it to the MeSH IDs in babel_outputs/intermediate/chemicals/ids/MESH, then writes out non-CAS mappings (i.e. UNII mappings) to babel_outputs/intermediate/chemicals/concords/mesh_unii
 - MESH, UNII: 17,401"
"ChemicalEntity.txt
ChemicalMixture.txt
ComplexMolecularMixture.txt
Drug.txt
Food.txt
MolecularMixture.txt
Polypeptide.txt
SmallMolecule.txt",make_gtopdb_relations(),"11,469 cross-references involving 22,711 distinct CURIEs from Transform Ligand ID/InChIKey mappings from babel_downloads/GTOPDB/ligands.tsv into a concord.
 - GTOPDB, INCHIKEY: 11,469"
"ChemicalEntity.txt
ChemicalMixture.txt
ComplexMolecularMixture.txt
Drug.txt
Food.txt
MolecularMixture.txt
Polypeptide.txt
SmallMolecule.txt",get_wikipedia_relationships(),"6,212 cross-references involving 12,265 distinct CURIEs from Wikidata SPARQL query to find Wikidata entities with both CHEBI and MESH IDs, and build a concordance between them.
 - CHEBI, MESH: 6,212"
"ChemicalEntity.txt
ChemicalMixture.txt
ComplexMolecularMixture.txt
Drug.txt
Food.txt
MolecularMixture.txt
Polypeptide.txt
SmallMolecule.txt",umls.build_sets(),"5,277 cross-references involving 10,415 distinct CURIEs from umls.build_sets() using UMLS MRCONSO with prefixes: {'MSH': 'MESH', 'DRUGBANK': 'DRUGBANK'} with cui_prefix set to RXCUI
 - DRUGBANK, RXCUI: 5,277"
"ChemicalEntity.txt
ChemicalMixture.txt
ComplexMolecularMixture.txt
Drug.txt
Food.txt
MolecularMixture.txt
Polypeptide.txt
SmallMolecule.txt",chemicals.build_untyped_compendia(),"Generate an untyped compendium from concordances babel_outputs/intermediate/chemicals/concords/wikipedia_mesh_chebi babel_outputs/intermediate/chemicals/concords/PUBCHEM_MESH babel_outputs/intermediate/chemicals/concords/mesh_cas babel_outputs/intermediate/chemicals/concords/mesh_unii babel_outputs/intermediate/chemicals/concords/PUBCHEM_CAS babel_outputs/intermediate/chemicals/concords/GTOPDB babel_outputs/intermediate/chemicals/concords/CHEBI babel_outputs/intermediate/chemicals/concords/UMLS babel_outputs/intermediate/chemicals/concords/DrugCentral babel_outputs/intermediate/chemicals/concords/RXNORM, identifiers babel_outputs/intermediate/chemicals/ids/CHEMBL.COMPOUND babel_outputs/intermediate/chemicals/ids/GTOPDB babel_outputs/intermediate/chemicals/ids/CHEBI babel_outputs/intermediate/chemicals/ids/UNII babel_outputs/intermediate/chemicals/ids/HMDB babel_outputs/intermediate/chemicals/ids/PUBCHEM.COMPOUND babel_outputs/intermediate/chemicals/ids/DrugCentral babel_outputs/intermediate/chemicals/ids/DRUGBANK babel_outputs/intermediate/chemicals/ids/MESH babel_outputs/intermediate/chemicals/ids/UMLS babel_outputs/intermediate/chemicals/ids/RXNORM, "" +unichem_partial babel_outputs/intermediate/chemicals/partials/UNICHEM, untyped_concord babel_outputs/intermediate/chemicals/partials/untyped_compendium, and type file babel_outputs/intermediate/chemicals/partials/types.
"
"Disease.txt
PhenotypicFeature.txt",umls.build_sets(),"222,015 cross-references involving 374,628 distinct CURIEs from umls.build_sets() using UMLS MRCONSO with prefixes: {'SNOMEDCT_US': 'SNOMEDCT', 'MSH': 'MESH', 'NCI': 'NCIT', 'HPO': 'HP', 'MDR': 'MEDDRA', 'OMIM': 'OMIM'} with cui_prefix set to UMLS
 - SNOMEDCT, UMLS: 106,639
 - MEDDRA, UMLS: 53,746
 - NCIT, UMLS: 28,242
 - MESH, UMLS: 11,667
 - HP, UMLS: 11,220
 - 1 other prefix pairs: 10,501"
"Disease.txt
PhenotypicFeature.txt",build_disease_obo_relationships(),"108,230 cross-references involving 129,769 distinct CURIEs from ubergraph.build_sets() (exact) of MONDO:0000001 and MONDO:0042489, including ORPHANET prefixes
 - MEDGEN, MONDO: 21,738
 - MONDO, UMLS: 21,738
 - DOID, MONDO: 11,921
 - MONDO, OMIM: 9,960
 - MONDO, SNOMEDCT: 9,025
 - 9 other prefix pairs: 33,848"
"Disease.txt
PhenotypicFeature.txt",build_disease_doid_relationships(),"39,215 cross-references involving 48,748 distinct CURIEs from build_disease_doid_relationships() using the DOID ID file babel_downloads/DOID/doid.json and other_prefixes {'ICD10CM': 'ICD10', 'ICD9CM': 'ICD9', 'ICDO': 'ICD0', 'NCI': 'NCIT', 'SNOMEDCT_US_2018_03_01': 'SNOMEDCT', 'SNOMEDCT_US_2019_09_01': 'SNOMEDCT', 'SNOMEDCT_US_2020_03_01': 'SNOMEDCT', 'SNOMEDCT_US_2020_09_01': 'SNOMEDCT', 'UMLS_CUI': 'UMLS', 'KEGG': 'KEGG.DISEASE'}
 - DOID, UMLS: 7,114
 - DOID, MIM: 6,460
 - DOID, SNOMEDCT_US_2025_09_01: 5,294
 - DOID, NCIT: 5,059
 - DOID, MESH: 4,088
 - 15 other prefix pairs: 11,200"
"Disease.txt
PhenotypicFeature.txt",build_disease_obo_relationships(),"17,892 cross-references involving 28,753 distinct CURIEs from ubergraph.build_sets() of HP:0000118 with other_prefixes {'MSH': 'MESH', 'SNOMEDCT_US': 'SNOMEDCT', 'SNOMED_CT': 'SNOMEDCT', 'ORPHANET': 'orphanet', 'ICD-9': 'ICD9', 'ICD-10': 'ICD10', 'ICD-0': 'ICD0', 'ICD-O': 'ICD0'}
 - HP, UMLS: 12,714
 - HP, SNOMEDCT: 4,563
 - Fyler, HP: 222
 - HP, NCIT: 221
 - HP, MEDDRA: 92
 - 11 other prefix pairs: 80"
